"","minlong","y"
"1",-180.000555763,-4.35271335774624
"2",-176.384783720293,-4.25459625208437
"3",-172.769011677586,-4.2587269012476
"4",-169.153239634879,-4.27785723188734
"5",-165.537467592172,-4.31422603446547
"6",-161.921695549465,-4.28871616215046
"7",-158.305923506758,-4.28161682943626
"8",-154.690151464051,-4.28007853299207
"9",-151.074379421343,-4.28004055543067
"10",-147.458607378636,-4.28183890137195
"11",-143.842835335929,-4.28174183630225
"12",-140.227063293222,-4.28136001561356
"13",-136.611291250515,-4.28092874974669
"14",-132.995519207808,-4.28200138338676
"15",-129.379747165101,-4.27194955692597
"16",-125.763975122394,-4.24703633934437
"17",-122.148203079687,-4.22836555887804
"18",-118.53243103698,-4.33176445632013
"19",-114.916658994273,-4.40039918268829
"20",-111.300886951566,-4.45639220284418
"21",-107.685114908859,-4.48499516622825
"22",-104.069342866152,-4.51425910423057
"23",-100.453570823444,-4.51877595090599
"24",-96.8377987807374,-4.5604274544599
"25",-93.2220267380303,-4.58356120557531
"26",-89.6062546953232,-4.591489295375
"27",-85.9904826526162,-4.5951192601552
"28",-82.3747106099091,-4.59530625033741
"29",-78.758938567202,-4.60923776315235
"30",-75.1431665244949,-4.59912999585422
"31",-71.5273944817879,-4.59508059919603
"32",-67.9116224390808,-4.58001166232442
"33",-64.2958503963737,-4.58858466739376
"34",-60.6800783536667,-4.55376723343355
"35",-57.0643063109596,-4.70266975517246
"36",-53.4485342682525,-4.70676221189069
"37",-49.8327622255455,-4.70684147006526
"38",-46.2169901828384,-4.71027446371271
"39",-42.6012181401313,-4.71043229606445
"40",-38.9854460974242,-4.71068801737228
"41",-35.3696740547172,-4.71072397213157
"42",-31.7539020120101,-4.71067772725992
"43",-28.138129969303,-4.73946711969847
"44",-24.5223579265959,-4.73857686539525
"45",-20.9065858838889,-4.73905362622294
"46",-17.2908138411818,-4.74657859002193
"47",-13.6750417984747,-4.74117133119414
"48",-10.0592697557676,-4.74248880618306
"49",-6.44349771306059,-4.73530916577085
"50",-2.82772567035352,-4.7451250219627
"51",0.788046372353563,-4.74579770143835
"52",4.40381841506061,-4.74877886676699
"53",8.01959045776769,-4.78039746561703
"54",11.6353625004748,-4.80730246653975
"55",15.2511345431818,-4.81143085987592
"56",18.8669065858889,-4.81148433443215
"57",22.482678628596,-4.8115152814554
"58",26.0984506713031,-4.81159713487121
"59",29.7142227140101,-4.81160322750505
"60",33.3299947567172,-4.81163857462177
"61",36.9457667994243,-4.81163857462177
"62",40.5615388421313,-4.81163857462177
"63",44.1773108848384,-4.81173798349013
"64",47.7930829275455,-4.81173798349013
"65",51.4088549702525,-4.81166349987855
"66",55.0246270129596,-4.81154959633397
"67",58.6403990556667,-4.81098531707755
"68",62.2561710983738,-4.81102114760436
"69",65.8719431410808,-4.81106363498226
"70",69.4877151837879,-4.81148055535862
"71",73.103487226495,-4.81147867752899
"72",76.7192592692021,-4.81153086677472
"73",80.3350313119091,-4.81257561786303
"74",83.9508033546162,-4.81257561786303
"75",87.5665753973232,-4.81257561786303
"76",91.1823474400303,-4.81262379498925
"77",94.7981194827374,-4.81263556629778
"78",98.4138915254445,-4.8127314471616
"79",102.029663568152,-4.8127314471616
"80",105.645435610859,-4.81274298529848
"81",109.261207653566,-4.81274298529848
"82",112.876979696273,-4.81274298529848
"83",116.49275173898,-4.81274298529848
"84",120.108523781687,-4.81274298529848
"85",123.724295824394,-4.81274298529848
"86",127.340067867101,-4.81274298529848
"87",130.955839909808,-4.81274298529848
"88",134.571611952515,-4.81274298529848
"89",138.187383995222,-4.81274298529848
"90",141.803156037929,-4.81274298529848
"91",145.418928080636,-4.81274298529848
"92",149.034700123343,-4.81274298529848
"93",152.650472166051,-4.81274298529848
"94",156.266244208758,-4.81274298529848
"95",159.882016251465,-4.81274298529848
"96",163.497788294172,-4.81274298529848
"97",167.113560336879,-4.81274298529848
"98",170.729332379586,-4.81274298529848
"99",174.345104422293,-4.81274298529848
"100",177.960876465,-4.81274298529848
