"","MaxDiet","y"
"1","",-6.15742421855371
"2","fruit",-6.17387364833484
"3","Inv",-6.17228763158032
"4","Nect",-5.80922256699051
"5","PlatO",-6.17691884816736
"6","Seed",-6.17216734830445
"7","Vect",-5.90654047954001
"8","vend",-5.85241636433906
"9","Vunk",-5.84994372920493
