"","Ticks_mean","y"
"1",0,-5.76026038188813
"2",0.021852735439495,-5.7613958597799
"3",0.0437054708789899,-5.75969492537968
"4",0.0655582063184849,-5.75816422548706
"5",0.0874109417579798,-5.75461203192058
"6",0.109263677197475,-5.75178343729643
"7",0.13111641263697,-5.75082735227521
"8",0.152969148076465,-5.75066341131061
"9",0.17482188351596,-5.75025820391336
"10",0.196674618955455,-5.74893084570438
"11",0.21852735439495,-5.74781280005923
"12",0.240380089834444,-5.74767671412076
"13",0.262232825273939,-5.74724821794986
"14",0.284085560713434,-5.747081273546
"15",0.305938296152929,-5.74622708909132
"16",0.327791031592424,-5.74590375294777
"17",0.349643767031919,-5.74590375294777
"18",0.371496502471414,-5.74590375294777
"19",0.393349237910909,-5.74584506088846
"20",0.415201973350404,-5.74575863167612
"21",0.437054708789899,-5.74567952703938
"22",0.458907444229394,-5.7452451035493
"23",0.480760179668889,-5.74517410136385
"24",0.502612915108384,-5.74517410136385
"25",0.524465650547879,-5.74507274839681
"26",0.546318385987374,-5.74482425391958
"27",0.568171121426869,-5.74444345695909
"28",0.590023856866364,-5.74422964323509
"29",0.611876592305859,-5.74290294789189
"30",0.633729327745354,-5.74239543824274
"31",0.655582063184849,-5.74210986799733
"32",0.677434798624344,-5.74210986799733
"33",0.699287534063838,-5.74210986799733
"34",0.721140269503333,-5.74210986799733
"35",0.742993004942828,-5.74210986799733
"36",0.764845740382323,-5.74210986799733
"37",0.786698475821818,-5.74210986799733
"38",0.808551211261313,-5.74081430233843
"39",0.830403946700808,-5.74081430233843
"40",0.852256682140303,-5.74081430233843
"41",0.874109417579798,-5.74081430233843
"42",0.895962153019293,-5.74081430233843
"43",0.917814888458788,-5.74081430233843
"44",0.939667623898283,-5.74081430233843
"45",0.961520359337778,-5.74081430233843
"46",0.983373094777273,-5.74081430233843
"47",1.00522583021677,-5.74081430233843
"48",1.02707856565626,-5.74081430233843
"49",1.04893130109576,-5.74081430233843
"50",1.07078403653525,-5.74081430233843
"51",1.09263677197475,-5.74081430233843
"52",1.11448950741424,-5.74081430233843
"53",1.13634224285374,-5.74081430233843
"54",1.15819497829323,-5.74081430233843
"55",1.18004771373273,-5.74081430233843
"56",1.20190044917222,-5.74081430233843
"57",1.22375318461172,-5.74081430233843
"58",1.24560592005121,-5.74081430233843
"59",1.26745865549071,-5.74081430233843
"60",1.2893113909302,-5.74081430233843
"61",1.3111641263697,-5.74081430233843
"62",1.33301686180919,-5.74081430233843
"63",1.35486959724869,-5.74081430233843
"64",1.37672233268818,-5.74081430233843
"65",1.39857506812768,-5.74081430233843
"66",1.42042780356717,-5.74081430233843
"67",1.44228053900667,-5.74081430233843
"68",1.46413327444616,-5.74081430233843
"69",1.48598600988566,-5.74081430233843
"70",1.50783874532515,-5.74081430233843
"71",1.52969148076465,-5.74081430233843
"72",1.55154421620414,-5.74081430233843
"73",1.57339695164364,-5.74081430233843
"74",1.59524968708313,-5.74081430233843
"75",1.61710242252263,-5.74081430233843
"76",1.63895515796212,-5.74081430233843
"77",1.66080789340162,-5.74081430233843
"78",1.68266062884111,-5.74081430233843
"79",1.70451336428061,-5.74081430233843
"80",1.7263660997201,-5.74081430233843
"81",1.7482188351596,-5.74081430233843
"82",1.77007157059909,-5.74081430233843
"83",1.79192430603859,-5.74081430233843
"84",1.81377704147808,-5.74081430233843
"85",1.83562977691758,-5.74081430233843
"86",1.85748251235707,-5.74081430233843
"87",1.87933524779657,-5.74081430233843
"88",1.90118798323606,-5.74081430233843
"89",1.92304071867556,-5.74081430233843
"90",1.94489345411505,-5.74081430233843
"91",1.96674618955455,-5.74081430233843
"92",1.98859892499404,-5.74081430233843
"93",2.01045166043354,-5.74081430233843
"94",2.03230439587303,-5.74081430233843
"95",2.05415713131253,-5.74081430233843
"96",2.07600986675202,-5.74081430233843
"97",2.09786260219152,-5.74081430233843
"98",2.11971533763101,-5.74081430233843
"99",2.14156807307051,-5.74081430233843
"100",2.16342080851,-5.74081430233843
