"","HuPop_mean_log","y"
"1",-6.90775527898,-4.69884412135911
"2",-6.74586446316434,-4.69884412135911
"3",-6.58397364734869,-4.69884412135911
"4",-6.42208283153303,-4.69884412135911
"5",-6.26019201571737,-4.69884412135911
"6",-6.09830119990172,-4.69884412135911
"7",-5.93641038408606,-4.69884412135911
"8",-5.7745195682704,-4.69884412135911
"9",-5.61262875245475,-4.69884412135911
"10",-5.45073793663909,-4.69884412135911
"11",-5.28884712082343,-4.69884412135911
"12",-5.12695630500778,-4.69884412135911
"13",-4.96506548919212,-4.69884412135911
"14",-4.80317467337646,-4.69884412135911
"15",-4.64128385756081,-4.69884412135911
"16",-4.47939304174515,-4.69884412135911
"17",-4.31750222592949,-4.69884412135911
"18",-4.15561141011384,-4.69884412135911
"19",-3.99372059429818,-4.69884412135911
"20",-3.83182977848253,-4.69884412135911
"21",-3.66993896266687,-4.69884412135911
"22",-3.50804814685121,-4.69884412135911
"23",-3.34615733103556,-4.69884412135911
"24",-3.1842665152199,-4.69884412135911
"25",-3.02237569940424,-4.69884412135911
"26",-2.86048488358859,-4.69884412135911
"27",-2.69859406777293,-4.69884412135911
"28",-2.53670325195727,-4.69884412135911
"29",-2.37481243614162,-4.69884412135911
"30",-2.21292162032596,-4.69884412135911
"31",-2.0510308045103,-4.69884412135911
"32",-1.88913998869465,-4.69884412135911
"33",-1.72724917287899,-4.69884412135911
"34",-1.56535835706333,-4.69884412135911
"35",-1.40346754124768,-4.69884412135911
"36",-1.24157672543202,-4.69884412135911
"37",-1.07968590961636,-4.69884412135911
"38",-0.917795093800707,-4.69886743662378
"39",-0.75590427798505,-4.69886743662378
"40",-0.594013462169394,-4.69886743662378
"41",-0.432122646353737,-4.69886743662378
"42",-0.270231830538081,-4.69890162904663
"43",-0.108341014722424,-4.69890162904663
"44",0.053549801093232,-4.69890162904663
"45",0.215440616908889,-4.69890162904663
"46",0.377331432724546,-4.69902166105
"47",0.539222248540202,-4.69902166105
"48",0.701113064355859,-4.69902166105
"49",0.863003880171515,-4.69902166105
"50",1.02489469598717,-4.69902166105
"51",1.18678551180283,-4.69914082409281
"52",1.34867632761848,-4.69911427421698
"53",1.51056714343414,-4.69919922626842
"54",1.6724579592498,-4.69969742730121
"55",1.83434877506545,-4.69986915962496
"56",1.99623959088111,-4.70005242590372
"57",2.15813040669677,-4.70028503638477
"58",2.32002122251243,-4.6984471825306
"59",2.48191203832808,-4.69580122997109
"60",2.64380285414374,-4.69595259821013
"61",2.80569366995939,-4.69611363118563
"62",2.96758448577505,-4.69513376918149
"63",3.12947530159071,-4.69372520652026
"64",3.29136611740636,-4.69463398608629
"65",3.45325693322202,-4.69193758264739
"66",3.61514774903768,-4.69139777049787
"67",3.77703856485333,-4.69099649560444
"68",3.93892938066899,-4.69047019207229
"69",4.10082019648465,-4.69053655607083
"70",4.2627110123003,-4.69021217871019
"71",4.42460182811596,-4.69047382405785
"72",4.58649264393162,-4.68967663097718
"73",4.74838345974727,-4.68910863142413
"74",4.91027427556293,-4.68642145800951
"75",5.07216509137859,-4.68440960500636
"76",5.23405590719424,-4.68460976543915
"77",5.3959467230099,-4.6785890863735
"78",5.55783753882556,-4.67296407619252
"79",5.71972835464121,-4.66585105990715
"80",5.88161917045687,-4.64079588932436
"81",6.04350998627253,-4.64178362067684
"82",6.20540080208818,-4.64032745827816
"83",6.36729161790384,-4.64032745827816
"84",6.52918243371949,-4.64032745827816
"85",6.69107324953515,-4.64032745827816
"86",6.85296406535081,-4.64032745827816
"87",7.01485488116646,-4.64032745827816
"88",7.17674569698212,-4.64032745827816
"89",7.33863651279778,-4.64032745827816
"90",7.50052732861344,-4.64032745827816
"91",7.66241814442909,-4.64032745827816
"92",7.82430896024475,-4.64032745827816
"93",7.9861997760604,-4.64032745827816
"94",8.14809059187606,-4.64032745827816
"95",8.30998140769172,-4.64032745827816
"96",8.47187222350737,-4.64032745827816
"97",8.63376303932303,-4.64032745827816
"98",8.79565385513869,-4.64032745827816
"99",8.95754467095434,-4.64032745827816
"100",9.11943548677,-4.64032745827816
