"","CARDINALIDAE","y"
"1",0,-5.054623280092
"2",0.0101010101010101,-5.054623280092
"3",0.0202020202020202,-5.054623280092
"4",0.0303030303030303,-5.054623280092
"5",0.0404040404040404,-5.054623280092
"6",0.0505050505050505,-5.054623280092
"7",0.0606060606060606,-5.054623280092
"8",0.0707070707070707,-5.054623280092
"9",0.0808080808080808,-5.054623280092
"10",0.0909090909090909,-5.054623280092
"11",0.101010101010101,-5.054623280092
"12",0.111111111111111,-5.054623280092
"13",0.121212121212121,-5.054623280092
"14",0.131313131313131,-5.054623280092
"15",0.141414141414141,-5.054623280092
"16",0.151515151515152,-5.054623280092
"17",0.161616161616162,-5.054623280092
"18",0.171717171717172,-5.054623280092
"19",0.181818181818182,-5.054623280092
"20",0.191919191919192,-5.054623280092
"21",0.202020202020202,-5.054623280092
"22",0.212121212121212,-5.054623280092
"23",0.222222222222222,-5.054623280092
"24",0.232323232323232,-5.054623280092
"25",0.242424242424242,-5.054623280092
"26",0.252525252525253,-5.054623280092
"27",0.262626262626263,-5.054623280092
"28",0.272727272727273,-5.054623280092
"29",0.282828282828283,-5.054623280092
"30",0.292929292929293,-5.054623280092
"31",0.303030303030303,-5.054623280092
"32",0.313131313131313,-5.054623280092
"33",0.323232323232323,-5.054623280092
"34",0.333333333333333,-5.054623280092
"35",0.343434343434343,-5.054623280092
"36",0.353535353535354,-5.054623280092
"37",0.363636363636364,-5.054623280092
"38",0.373737373737374,-5.054623280092
"39",0.383838383838384,-5.054623280092
"40",0.393939393939394,-5.054623280092
"41",0.404040404040404,-5.054623280092
"42",0.414141414141414,-5.054623280092
"43",0.424242424242424,-5.054623280092
"44",0.434343434343434,-5.054623280092
"45",0.444444444444444,-5.054623280092
"46",0.454545454545455,-5.054623280092
"47",0.464646464646465,-5.054623280092
"48",0.474747474747475,-5.054623280092
"49",0.484848484848485,-5.054623280092
"50",0.494949494949495,-5.054623280092
"51",0.505050505050505,-4.76025764401702
"52",0.515151515151515,-4.76025764401702
"53",0.525252525252525,-4.76025764401702
"54",0.535353535353535,-4.76025764401702
"55",0.545454545454546,-4.76025764401702
"56",0.555555555555556,-4.76025764401702
"57",0.565656565656566,-4.76025764401702
"58",0.575757575757576,-4.76025764401702
"59",0.585858585858586,-4.76025764401702
"60",0.595959595959596,-4.76025764401702
"61",0.606060606060606,-4.76025764401702
"62",0.616161616161616,-4.76025764401702
"63",0.626262626262626,-4.76025764401702
"64",0.636363636363636,-4.76025764401702
"65",0.646464646464647,-4.76025764401702
"66",0.656565656565657,-4.76025764401702
"67",0.666666666666667,-4.76025764401702
"68",0.676767676767677,-4.76025764401702
"69",0.686868686868687,-4.76025764401702
"70",0.696969696969697,-4.76025764401702
"71",0.707070707070707,-4.76025764401702
"72",0.717171717171717,-4.76025764401702
"73",0.727272727272727,-4.76025764401702
"74",0.737373737373737,-4.76025764401702
"75",0.747474747474748,-4.76025764401702
"76",0.757575757575758,-4.76025764401702
"77",0.767676767676768,-4.76025764401702
"78",0.777777777777778,-4.76025764401702
"79",0.787878787878788,-4.76025764401702
"80",0.797979797979798,-4.76025764401702
"81",0.808080808080808,-4.76025764401702
"82",0.818181818181818,-4.76025764401702
"83",0.828282828282828,-4.76025764401702
"84",0.838383838383838,-4.76025764401702
"85",0.848484848484849,-4.76025764401702
"86",0.858585858585859,-4.76025764401702
"87",0.868686868686869,-4.76025764401702
"88",0.878787878787879,-4.76025764401702
"89",0.888888888888889,-4.76025764401702
"90",0.898989898989899,-4.76025764401702
"91",0.909090909090909,-4.76025764401702
"92",0.919191919191919,-4.76025764401702
"93",0.929292929292929,-4.76025764401702
"94",0.939393939393939,-4.76025764401702
"95",0.94949494949495,-4.76025764401702
"96",0.95959595959596,-4.76025764401702
"97",0.96969696969697,-4.76025764401702
"98",0.97979797979798,-4.76025764401702
"99",0.98989898989899,-4.76025764401702
"100",1,-4.76025764401702
