"","IUCN.Status","y"
"1","",-6.38199465477662
"2","CR",-6.3849911097443
"3","DD",-6.38930647116442
"4","EN",-6.38901504709937
"5","EX",-6.38696543238639
"6","LC",-6.38199465477662
"7","NT",-6.38866665797853
"8","VU",-6.38975350580211
