"","Metabolic_Rate_ln","y"
"1",-2.52220984256,-4.6571609846122
"2",-2.41838540614889,-4.6571609846122
"3",-2.31456096973778,-4.6571609846122
"4",-2.21073653332667,-4.6571609846122
"5",-2.10691209691556,-4.6571609846122
"6",-2.00308766050444,-4.6571609846122
"7",-1.89926322409333,-4.6571609846122
"8",-1.79543878768222,-4.6571609846122
"9",-1.69161435127111,-4.65702457588411
"10",-1.58778991486,-4.65707995343351
"11",-1.48396547844889,-4.65741066729994
"12",-1.38014104203778,-4.65737583194683
"13",-1.27631660562667,-4.65778919298197
"14",-1.17249216921556,-4.65832064843541
"15",-1.06866773280444,-4.66184567910208
"16",-0.964843296393334,-4.66204349501741
"17",-0.861018859982222,-4.6629716769314
"18",-0.757194423571111,-4.66416908160532
"19",-0.65336998716,-4.6643728312082
"20",-0.549545550748889,-4.66401248852811
"21",-0.445721114337778,-4.66670247655341
"22",-0.341896677926667,-4.66728443879511
"23",-0.238072241515556,-4.66897733952248
"24",-0.134247805104445,-4.6710531842995
"25",-0.0304233686933335,-4.67133118616603
"26",0.0734010677177777,-4.6721746631677
"27",0.177225504128889,-4.67246587884049
"28",0.28104994054,-4.6724933668853
"29",0.384874376951111,-4.67273065739275
"30",0.488698813362222,-4.67269479780683
"31",0.592523249773333,-4.67263212130335
"32",0.696347686184444,-4.67282837092715
"33",0.800172122595555,-4.67279332242227
"34",0.903996559006667,-4.67279522065793
"35",1.00782099541778,-4.67255707828275
"36",1.11164543182889,-4.67720286990324
"37",1.21546986824,-4.67710522215066
"38",1.31929430465111,-4.67721552669003
"39",1.42311874106222,-4.67734191371797
"40",1.52694317747333,-4.6771543361249
"41",1.63076761388444,-4.68050509962991
"42",1.73459205029555,-4.68215668560907
"43",1.83841648670667,-4.69557028845022
"44",1.94224092311778,-4.69661451794396
"45",2.04606535952889,-4.69668433638755
"46",2.14988979594,-4.69689695491901
"47",2.25371423235111,-4.6971224203565
"48",2.35753866876222,-4.6971224203565
"49",2.46136310517333,-4.69741087575266
"50",2.56518754158444,-4.69741087575266
"51",2.66901197799556,-4.69754065969471
"52",2.77283641440667,-4.69476398135777
"53",2.87666085081778,-4.70095733641972
"54",2.98048528722889,-4.70095733641972
"55",3.08430972364,-4.70095733641972
"56",3.18813416005111,-4.70095733641972
"57",3.29195859646222,-4.70095733641972
"58",3.39578303287333,-4.70086198279494
"59",3.49960746928444,-4.70057702949356
"60",3.60343190569556,-4.70050860663708
"61",3.70725634210667,-4.70050860663708
"62",3.81108077851778,-4.70039120137195
"63",3.91490521492889,-4.63881968060357
"64",4.01872965134,-4.63881968060357
"65",4.12255408775111,-4.51251001745008
"66",4.22637852416222,-4.50298621410511
"67",4.33020296057333,-4.46070311500367
"68",4.43402739698444,-4.46070311500367
"69",4.53785183339556,-4.45853207882812
"70",4.64167626980667,-4.45513364113446
"71",4.74550070621778,-4.47645100114937
"72",4.84932514262889,-4.47645100114937
"73",4.95314957904,-4.47645100114937
"74",5.05697401545111,-4.47645100114937
"75",5.16079845186222,-4.47645100114937
"76",5.26462288827333,-4.47645100114937
"77",5.36844732468444,-4.47645100114937
"78",5.47227176109556,-4.47645100114937
"79",5.57609619750667,-4.47645100114937
"80",5.67992063391778,-4.47645100114937
"81",5.78374507032889,-4.47645100114937
"82",5.88756950674,-4.47645100114937
"83",5.99139394315111,-4.47645100114937
"84",6.09521837956222,-4.47645100114937
"85",6.19904281597333,-4.47645100114937
"86",6.30286725238444,-4.47645100114937
"87",6.40669168879555,-4.47645100114937
"88",6.51051612520667,-4.47645100114937
"89",6.61434056161778,-4.47645100114937
"90",6.71816499802889,-4.47645100114937
"91",6.82198943444,-4.47645100114937
"92",6.92581387085111,-4.47645100114937
"93",7.02963830726222,-4.47645100114937
"94",7.13346274367333,-4.47645100114937
"95",7.23728718008444,-4.47645100114937
"96",7.34111161649555,-4.47645100114937
"97",7.44493605290667,-4.47645100114937
"98",7.54876048931778,-4.47645100114937
"99",7.65258492572889,-4.47645100114937
"100",7.75640936214,-4.47645100114937
