"","centroidY","y"
"1",-66.9283537764,-4.73726454207462
"2",-65.472932076301,-4.73726454207462
"3",-64.017510376202,-4.73726454207462
"4",-62.562088676103,-4.73726454207462
"5",-61.106666976004,-4.73726454207462
"6",-59.6512452759051,-4.73726454207462
"7",-58.1958235758061,-4.73726454207462
"8",-56.7404018757071,-4.73726454207462
"9",-55.2849801756081,-4.73726454207462
"10",-53.8295584755091,-4.73726454207462
"11",-52.3741367754101,-4.73726454207462
"12",-50.9187150753111,-4.73726454207462
"13",-49.4632933752121,-4.73726454207462
"14",-48.0078716751131,-4.73726454207462
"15",-46.5524499750141,-4.73726454207462
"16",-45.0970282749152,-4.73726454207462
"17",-43.6416065748162,-4.73726454207462
"18",-42.1861848747172,-4.73726454207462
"19",-40.7307631746182,-4.73726454207462
"20",-39.2753414745192,-4.73726454207462
"21",-37.8199197744202,-4.73726454207462
"22",-36.3644980743212,-4.73726454207462
"23",-34.9090763742222,-4.73726454207462
"24",-33.4536546741232,-4.73726454207462
"25",-31.9982329740242,-4.73726454207462
"26",-30.5428112739253,-4.73710301150689
"27",-29.0873895738263,-4.73706600770936
"28",-27.6319678737273,-4.73706600770936
"29",-26.1765461736283,-4.73706483868188
"30",-24.7211244735293,-4.72988336790708
"31",-23.2657027734303,-4.7261198399731
"32",-21.8102810733313,-4.72331959272928
"33",-20.3548593732323,-4.72329673379577
"34",-18.8994376731333,-4.72407099610605
"35",-17.4440159730344,-4.7257641282619
"36",-15.9885942729354,-4.72610661891618
"37",-14.5331725728364,-4.72610661891618
"38",-13.0777508727374,-4.72610661891618
"39",-11.6223291726384,-4.72610661891618
"40",-10.1669074725394,-4.7260988668549
"41",-8.71148577244041,-4.72607214671431
"42",-7.25606407234142,-4.72592578112736
"43",-5.80064237224244,-4.72583024760089
"44",-4.34522067214344,-4.7261745571127
"45",-2.88979897204445,-4.72633624150481
"46",-1.43437727194546,-4.7263374353126
"47",0.0210444281535302,-4.72601831124045
"48",1.47646612825251,-4.7258075439598
"49",2.93188782835151,-4.72536195841398
"50",4.3873095284505,-4.72518042517896
"51",5.84273122854948,-4.7250517190995
"52",7.29815292864848,-4.72455499809682
"53",8.75357462874746,-4.72444897171816
"54",10.2089963288465,-4.72379204909257
"55",11.6644180289454,-4.7233763869964
"56",13.1198397290444,-4.70045336871654
"57",14.5752614291434,-4.67669130801748
"58",16.0306831292424,-4.67251842012461
"59",17.4861048293414,-4.67839988592191
"60",18.9415265294404,-4.67283803205796
"61",20.3969482295394,-4.67178304626121
"62",21.8523699296384,-4.67534914200079
"63",23.3077916297374,-4.67577085820093
"64",24.7632133298363,-4.67398655065763
"65",26.2186350299353,-4.66929148363702
"66",27.6740567300343,-4.66909764538046
"67",29.1294784301333,-4.66161923755381
"68",30.5849001302323,-4.65691373842471
"69",32.0403218303313,-4.65106957919067
"70",33.4957435304303,-4.42590941309932
"71",34.9511652305293,-4.36113444286272
"72",36.4065869306283,-4.41891508833655
"73",37.8620086307273,-4.38799310902474
"74",39.3174303308263,-4.39705878233786
"75",40.7728520309252,-4.4097216852876
"76",42.2282737310242,-4.41603339263311
"77",43.6836954311232,-4.43641799980065
"78",45.1391171312222,-4.49021535940156
"79",46.5945388313212,-4.44728141480951
"80",48.0499605314202,-4.66167795212831
"81",49.5053822315192,-4.70456412847257
"82",50.9608039316182,-4.66214747233543
"83",52.4162256317172,-4.6673277694875
"84",53.8716473318161,-4.64857749162687
"85",55.3270690319151,-4.66483750471584
"86",56.7824907320141,-4.5272838852339
"87",58.2379124321131,-4.74570567149886
"88",59.6933341322121,-4.75505600284991
"89",61.1487558323111,-4.75321604432445
"90",62.6041775324101,-4.75315849135583
"91",64.0595992325091,-4.75313183265189
"92",65.5150209326081,-4.75313183265189
"93",66.9704426327071,-4.75313183265189
"94",68.425864332806,-4.75313183265189
"95",69.881286032905,-4.75313183265189
"96",71.336707733004,-4.75313183265189
"97",72.792129433103,-4.75313183265189
"98",74.247551133202,-4.75313183265189
"99",75.702972833301,-4.75313183265189
"100",77.1583945334,-4.75313183265189
