"","MaxDiet","y"
"1","",-5.05374794825787
"2","Fish",-5.00835836890894
"3","fruit",-5.01485586212262
"4","Inv",-5.07746531851818
"5","Nect",-5.01002980251574
"6","PlatO",-5.06160261560493
"7","Scav",-4.37082641106716
"8","Seed",-4.99211381484959
"9","Vect",-5.03587446646975
"10","vend",-4.99942326820804
"11","Vunk",-4.52964493296489
