"","Body_Temperature","y"
"1",305.635714286,-5.0258994427648
"2",305.721717172,-5.0258994427648
"3",305.807720058,-5.0258994427648
"4",305.893722944,-5.0258994427648
"5",305.97972583,-5.0258994427648
"6",306.065728716,-5.0258994427648
"7",306.151731602,-5.0258994427648
"8",306.237734488,-5.0258994427648
"9",306.323737374,-5.0258994427648
"10",306.40974026,-5.0258994427648
"11",306.495743146,-5.0258994427648
"12",306.581746032,-5.0258994427648
"13",306.667748918,-5.0258994427648
"14",306.753751804,-5.0258994427648
"15",306.83975469,-5.0258994427648
"16",306.925757576,-5.0258994427648
"17",307.011760462,-5.0258994427648
"18",307.097763348,-5.0258994427648
"19",307.183766234,-5.0258994427648
"20",307.26976912,-5.0258994427648
"21",307.355772006,-5.0258994427648
"22",307.441774892,-5.0258994427648
"23",307.527777778,-5.0258994427648
"24",307.613780664,-5.0258994427648
"25",307.69978355,-5.05969546331064
"26",307.785786436,-5.05969546331064
"27",307.871789322,-5.05969546331064
"28",307.957792208,-5.05969546331064
"29",308.043795094,-5.05969546331064
"30",308.12979798,-5.05969546331064
"31",308.215800866,-5.05969546331064
"32",308.301803752,-5.05969546331064
"33",308.387806638,-5.05969546331064
"34",308.473809524,-5.05969546331064
"35",308.55981241,-5.05969546331064
"36",308.645815296,-5.05969546331064
"37",308.731818182,-5.05969546331064
"38",308.817821068,-5.05969546331064
"39",308.903823954,-5.05969546331064
"40",308.98982684,-5.0610302554917
"41",309.075829726,-5.0610302554917
"42",309.161832612,-5.0610302554917
"43",309.247835498,-5.0610302554917
"44",309.333838384,-5.0610302554917
"45",309.41984127,-5.0610302554917
"46",309.505844156,-5.0610302554917
"47",309.591847042,-5.0610302554917
"48",309.677849928,-5.06137612944417
"49",309.763852814,-5.06137612944417
"50",309.8498557,-5.06137612944417
"51",309.935858586,-5.06137612944417
"52",310.021861472,-5.06137612944417
"53",310.107864358,-5.06137612944417
"54",310.193867244,-5.06137612944417
"55",310.27987013,-5.06137612944417
"56",310.365873016,-5.06129248893585
"57",310.451875902,-5.06129248893585
"58",310.537878788,-5.06129248893585
"59",310.623881674,-5.0614674934495
"60",310.70988456,-5.0614674934495
"61",310.795887446,-5.0614674934495
"62",310.881890332,-5.06159420400819
"63",310.967893218,-5.06174893972179
"64",311.053896104,-5.06172977771154
"65",311.13989899,-5.06184455484528
"66",311.225901876,-5.06184455484528
"67",311.311904762,-5.06178881510433
"68",311.397907648,-5.06145659382386
"69",311.483910534,-5.05662764911977
"70",311.56991342,-5.05659832614457
"71",311.655916306,-5.05526460381639
"72",311.741919192,-5.05514610385903
"73",311.827922078,-5.05454000096554
"74",311.913924964,-5.05454000096554
"75",311.99992785,-5.05418960307068
"76",312.085930736,-5.05418960307068
"77",312.171933622,-5.05418960307068
"78",312.257936508,-5.05418960307068
"79",312.343939394,-5.05418960307068
"80",312.42994228,-5.05405699926244
"81",312.515945166,-5.05405699926244
"82",312.601948052,-5.05405699926244
"83",312.687950938,-5.05405699926244
"84",312.773953824,-5.05386825772232
"85",312.85995671,-5.05274936894841
"86",312.945959596,-5.05274936894841
"87",313.031962482,-5.05273602409158
"88",313.117965368,-5.05215002193385
"89",313.203968254,-5.05106580230084
"90",313.28997114,-5.05106580230084
"91",313.375974026,-5.05106580230084
"92",313.461976912,-5.05106580230084
"93",313.547979798,-5.05106580230084
"94",313.633982684,-5.05106580230084
"95",313.71998557,-5.04875330792216
"96",313.805988456,-5.04875330792216
"97",313.891991342,-5.04875330792216
"98",313.977994228,-5.04875330792216
"99",314.063997114,-5.04875330792216
"100",314.15,-5.04875330792216
