"","MaxDiet","y"
"1","",-4.64140630919201
"2","Fish",-4.67336041157531
"3","fruit",-4.60008715855324
"4","Inv",-4.69317643851935
"5","Nect",-4.66280350870655
"6","PlatO",-4.63060876769451
"7","Scav",-4.5862637887029
"8","Seed",-4.63756510492508
"9","Vect",-4.63029155487769
"10","vend",-4.66635130056784
"11","Vunk",-4.65680540434641
