"","MaxDiet","y"
"1","",-6.86549874195448
"2","Fish",-6.86660679726379
"3","fruit",-6.83180334146507
"4","Inv",-6.85409035798066
"5","Nect",-6.83116712272626
"6","PlatO",-6.84079861587466
"7","Scav",-6.85316603667796
"8","Seed",-6.85407068451484
"9","Vect",-6.85461247202483
"10","vend",-6.85958007385685
"11","Vunk",-6.83153319783334
