"","SLP_DS","y"
"1","> 45",-6.16752486881544
"2","0 to 0.5",-6.16215940447212
"3","0.5 to 2",-6.16528689535182
"4","16 to 30",-6.17010596921156
"5","2 to 5",-6.16535829884077
"6","30 to 45",-6.16836596880763
"7","5 to 8",-6.16995285076506
"8","8 to 16",-6.1675180082676
"9","no data",-6.1644176845466
"10","Water",-6.16428683001069
