"","maxlat","y"
"1",-52.3745117189,-5.87706143589253
"2",-50.9363854022333,-5.87706143589253
"3",-49.4982590855667,-5.87706143589253
"4",-48.0601327689,-5.87706143589253
"5",-46.6220064522333,-5.87706143589253
"6",-45.1838801355667,-5.87706143589253
"7",-43.7457538189,-5.87706143589253
"8",-42.3076275022333,-5.87706143589253
"9",-40.8695011855667,-5.87706143589253
"10",-39.4313748689,-5.87706143589253
"11",-37.9932485522333,-5.87706143589253
"12",-36.5551222355667,-5.87706143589253
"13",-35.1169959189,-5.87706143589253
"14",-33.6788696022333,-5.87706143589253
"15",-32.2407432855667,-5.87706143589253
"16",-30.8026169689,-5.87706143589253
"17",-29.3644906522333,-5.87706143589253
"18",-27.9263643355667,-5.87706143589253
"19",-26.4882380189,-5.87706143589253
"20",-25.0501117022333,-5.87706143589253
"21",-23.6119853855667,-5.87706143589253
"22",-22.1738590689,-5.87706143589253
"23",-20.7357327522333,-5.87706143589253
"24",-19.2976064355667,-5.87706143589253
"25",-17.8594801189,-5.87706143589253
"26",-16.4213538022333,-5.87706143589253
"27",-14.9832274855667,-5.87706143589253
"28",-13.5451011689,-5.87706143589253
"29",-12.1069748522333,-5.87706143589253
"30",-10.6688485355667,-5.87706143589253
"31",-9.23072221890001,-5.87706143589253
"32",-7.79259590223334,-5.87706143589253
"33",-6.35446958556667,-5.87706143589253
"34",-4.9163432689,-5.87706143589253
"35",-3.47821695223333,-5.87706143589253
"36",-2.04009063556667,-5.87706143589253
"37",-0.601964318900002,-5.87706143589253
"38",0.836161997766666,-5.87706143589253
"39",2.27428831443333,-5.87710628102916
"40",3.7124146311,-5.87710628102916
"41",5.15054094776666,-5.87710628102916
"42",6.58866726443333,-5.87710628102916
"43",8.0267935811,-5.87710628102916
"44",9.46491989776666,-5.87710628102916
"45",10.9030462144333,-5.87710628102916
"46",12.3411725311,-5.87710628102916
"47",13.7792988477667,-5.87710628102916
"48",15.2174251644333,-5.87710628102916
"49",16.6555514811,-5.87710628102916
"50",18.0936777977667,-5.87710628102916
"51",19.5318041144333,-5.87710628102916
"52",20.9699304311,-5.87705088471428
"53",22.4080567477667,-5.87698207313627
"54",23.8461830644333,-5.874408734371
"55",25.2843093811,-5.87436428004946
"56",26.7224356977667,-5.87349899024186
"57",28.1605620144333,-5.87356576470024
"58",29.5986883311,-5.87356576470024
"59",31.0368146477667,-5.87088852209476
"60",32.4749409644333,-5.87060939969143
"61",33.9130672811,-5.87060939969143
"62",35.3511935977667,-5.83062394533072
"63",36.7893199144333,-5.73567360238311
"64",38.2274462311,-5.76535476914331
"65",39.6655725477667,-5.69800442536284
"66",41.1036988644333,-5.68188864655474
"67",42.5418251811,-5.53787443140096
"68",43.9799514977667,-5.5342866938367
"69",45.4180778144333,-5.38305341446132
"70",46.8562041311,-5.34107426172699
"71",48.2943304477667,-4.96817019397421
"72",49.7324567644333,-5.00002892107287
"73",51.1705830811,-5.02668447137762
"74",52.6087093977667,-5.03007229160202
"75",54.0468357144333,-4.93602172291548
"76",55.4849620311,-4.88818205792123
"77",56.9230883477667,-4.71336538553085
"78",58.3612146644333,-4.55755279240229
"79",59.7993409811,-4.57475337506591
"80",61.2374672977667,-4.25469431479032
"81",62.6755936144333,-4.24485885908439
"82",64.1137199311,-4.29398466673493
"83",65.5518462477667,-4.29983114616561
"84",66.9899725644333,-4.15950477693152
"85",68.4280988811,-4.0970506250899
"86",69.8662251977667,-4.0344258432557
"87",71.3043515144333,-4.86922936148074
"88",72.7424778311,-5.09382712582629
"89",74.1806041477667,-5.14495520519072
"90",75.6187304644333,-5.16194155616167
"91",77.0568567811,-5.16557482017605
"92",78.4949830977667,-5.16970994425029
"93",79.9331094144333,-5.16668909563957
"94",81.3712357311,-5.16488772247725
"95",82.8093620477667,-4.91283995766814
"96",84.2474883644333,-4.50965137484903
"97",85.6856146811,-4.50965137484903
"98",87.1237409977666,-4.50965137484903
"99",88.5618673144333,-4.50965137484903
"100",89.9999936311,-4.50965137484903
