"","HuPop_mean_log","y"
"1",-6.90775527898,-5.06295340098125
"2",-6.74586446316434,-5.06295340098125
"3",-6.58397364734869,-5.06295340098125
"4",-6.42208283153303,-5.06295340098125
"5",-6.26019201571737,-5.06295340098125
"6",-6.09830119990172,-5.06295340098125
"7",-5.93641038408606,-5.06295340098125
"8",-5.7745195682704,-5.06295340098125
"9",-5.61262875245475,-5.06295340098125
"10",-5.45073793663909,-5.06295340098125
"11",-5.28884712082343,-5.06295340098125
"12",-5.12695630500778,-5.06295340098125
"13",-4.96506548919212,-5.06295340098125
"14",-4.80317467337646,-5.06295340098125
"15",-4.64128385756081,-5.06295340098125
"16",-4.47939304174515,-5.06295340098125
"17",-4.31750222592949,-5.06295340098125
"18",-4.15561141011384,-5.06295340098125
"19",-3.99372059429818,-5.06295340098125
"20",-3.83182977848253,-5.06295340098125
"21",-3.66993896266687,-5.06295340098125
"22",-3.50804814685121,-5.06295340098125
"23",-3.34615733103556,-5.06295340098125
"24",-3.1842665152199,-5.06295340098125
"25",-3.02237569940424,-5.06295340098125
"26",-2.86048488358859,-5.06295340098125
"27",-2.69859406777293,-5.06295340098125
"28",-2.53670325195727,-5.06295340098125
"29",-2.37481243614162,-5.06295340098125
"30",-2.21292162032596,-5.06295340098125
"31",-2.0510308045103,-5.06295340098125
"32",-1.88913998869465,-5.06295340098125
"33",-1.72724917287899,-5.06295340098125
"34",-1.56535835706333,-5.06295340098125
"35",-1.40346754124768,-5.06295340098125
"36",-1.24157672543202,-5.06295340098125
"37",-1.07968590961636,-5.06295340098125
"38",-0.917795093800707,-5.06295340098125
"39",-0.75590427798505,-5.06295340098125
"40",-0.594013462169394,-5.06295340098125
"41",-0.432122646353737,-5.06295340098125
"42",-0.270231830538081,-5.06295340098125
"43",-0.108341014722424,-5.06298304782935
"44",0.053549801093232,-5.06298304782935
"45",0.215440616908889,-5.06298304782935
"46",0.377331432724546,-5.06313519449126
"47",0.539222248540202,-5.06313519449126
"48",0.701113064355859,-5.06313519449126
"49",0.863003880171515,-5.06322174583928
"50",1.02489469598717,-5.06352271322503
"51",1.18678551180283,-5.06352271322503
"52",1.34867632761848,-5.06534723338799
"53",1.51056714343414,-5.06549680548258
"54",1.6724579592498,-5.06567413003465
"55",1.83434877506545,-5.06572657377985
"56",1.99623959088111,-5.06580417648095
"57",2.15813040669677,-5.06583060414181
"58",2.32002122251243,-5.06588118138029
"59",2.48191203832808,-5.06554240905166
"60",2.64380285414374,-5.06562400538559
"61",2.80569366995939,-5.06562511787541
"62",2.96758448577505,-5.06480141554239
"63",3.12947530159071,-5.06298472288408
"64",3.29136611740636,-5.05922100640809
"65",3.45325693322202,-5.05562560181639
"66",3.61514774903768,-5.05663633547382
"67",3.77703856485333,-5.05704056572137
"68",3.93892938066899,-5.05656431176222
"69",4.10082019648465,-5.05677124860741
"70",4.2627110123003,-5.05660417334046
"71",4.42460182811596,-5.05658457891414
"72",4.58649264393162,-5.05652991175682
"73",4.74838345974727,-5.05705910420256
"74",4.91027427556293,-5.0569501644561
"75",5.07216509137859,-5.05492152936385
"76",5.23405590719424,-5.05430536053411
"77",5.3959467230099,-5.04595155516879
"78",5.55783753882556,-5.0067002164054
"79",5.71972835464121,-4.99698774993596
"80",5.88161917045687,-4.89271039919454
"81",6.04350998627253,-4.89742067821733
"82",6.20540080208818,-4.87858394373849
"83",6.36729161790384,-4.87782653101745
"84",6.52918243371949,-4.87782653101745
"85",6.69107324953515,-4.87782653101745
"86",6.85296406535081,-4.87782653101745
"87",7.01485488116646,-4.87782653101745
"88",7.17674569698212,-4.87782653101745
"89",7.33863651279778,-4.87782653101745
"90",7.50052732861344,-4.87782653101745
"91",7.66241814442909,-4.87782653101745
"92",7.82430896024475,-4.87782653101745
"93",7.9861997760604,-4.87782653101745
"94",8.14809059187606,-4.87782653101745
"95",8.30998140769172,-4.87782653101745
"96",8.47187222350737,-4.87782653101745
"97",8.63376303932303,-4.87782653101745
"98",8.79565385513869,-4.87782653101745
"99",8.95754467095434,-4.87782653101745
"100",9.11943548677,-4.87782653101745
