"","IUCN.Status","y"
"1","",-5.75387544776948
"2","CR",-5.75477386471281
"3","CR (PE)",-5.75155784524874
"4","CR (PEW)",-5.75144710463022
"5","DD",-5.75486270302833
"6","EN",-5.75120907080343
"7","EW",-5.75212791315989
"8","EX",-5.75369118623334
"9","LC",-5.75490807762233
"10","NT",-5.75196286069332
"11","RE",-5.75144710463022
"12","VU",-5.75450975789813
