"","MYSTACINIDAE","y"
"1",0,-6.416972764642
"2",0,-6.416972764642
"3",0,-6.416972764642
"4",0,-6.416972764642
"5",0,-6.416972764642
"6",0,-6.416972764642
"7",0,-6.416972764642
"8",0,-6.416972764642
"9",0,-6.416972764642
"10",0,-6.416972764642
"11",0,-6.416972764642
"12",0,-6.416972764642
"13",0,-6.416972764642
"14",0,-6.416972764642
"15",0,-6.416972764642
"16",0,-6.416972764642
"17",0,-6.416972764642
"18",0,-6.416972764642
"19",0,-6.416972764642
"20",0,-6.416972764642
"21",0,-6.416972764642
"22",0,-6.416972764642
"23",0,-6.416972764642
"24",0,-6.416972764642
"25",0,-6.416972764642
"26",0,-6.416972764642
"27",0,-6.416972764642
"28",0,-6.416972764642
"29",0,-6.416972764642
"30",0,-6.416972764642
"31",0,-6.416972764642
"32",0,-6.416972764642
"33",0,-6.416972764642
"34",0,-6.416972764642
"35",0,-6.416972764642
"36",0,-6.416972764642
"37",0,-6.416972764642
"38",0,-6.416972764642
"39",0,-6.416972764642
"40",0,-6.416972764642
"41",0,-6.416972764642
"42",0,-6.416972764642
"43",0,-6.416972764642
"44",0,-6.416972764642
"45",0,-6.416972764642
"46",0,-6.416972764642
"47",0,-6.416972764642
"48",0,-6.416972764642
"49",0,-6.416972764642
"50",0,-6.416972764642
"51",0,-6.416972764642
"52",0,-6.416972764642
"53",0,-6.416972764642
"54",0,-6.416972764642
"55",0,-6.416972764642
"56",0,-6.416972764642
"57",0,-6.416972764642
"58",0,-6.416972764642
"59",0,-6.416972764642
"60",0,-6.416972764642
"61",0,-6.416972764642
"62",0,-6.416972764642
"63",0,-6.416972764642
"64",0,-6.416972764642
"65",0,-6.416972764642
"66",0,-6.416972764642
"67",0,-6.416972764642
"68",0,-6.416972764642
"69",0,-6.416972764642
"70",0,-6.416972764642
"71",0,-6.416972764642
"72",0,-6.416972764642
"73",0,-6.416972764642
"74",0,-6.416972764642
"75",0,-6.416972764642
"76",0,-6.416972764642
"77",0,-6.416972764642
"78",0,-6.416972764642
"79",0,-6.416972764642
"80",0,-6.416972764642
"81",0,-6.416972764642
"82",0,-6.416972764642
"83",0,-6.416972764642
"84",0,-6.416972764642
"85",0,-6.416972764642
"86",0,-6.416972764642
"87",0,-6.416972764642
"88",0,-6.416972764642
"89",0,-6.416972764642
"90",0,-6.416972764642
"91",0,-6.416972764642
"92",0,-6.416972764642
"93",0,-6.416972764642
"94",0,-6.416972764642
"95",0,-6.416972764642
"96",0,-6.416972764642
"97",0,-6.416972764642
"98",0,-6.416972764642
"99",0,-6.416972764642
"100",0,-6.416972764642
