"","PHASIANIDAE","y"
"1",0,-5.0541929106718
"2",0.0101010101010101,-5.0541929106718
"3",0.0202020202020202,-5.0541929106718
"4",0.0303030303030303,-5.0541929106718
"5",0.0404040404040404,-5.0541929106718
"6",0.0505050505050505,-5.0541929106718
"7",0.0606060606060606,-5.0541929106718
"8",0.0707070707070707,-5.0541929106718
"9",0.0808080808080808,-5.0541929106718
"10",0.0909090909090909,-5.0541929106718
"11",0.101010101010101,-5.0541929106718
"12",0.111111111111111,-5.0541929106718
"13",0.121212121212121,-5.0541929106718
"14",0.131313131313131,-5.0541929106718
"15",0.141414141414141,-5.0541929106718
"16",0.151515151515152,-5.0541929106718
"17",0.161616161616162,-5.0541929106718
"18",0.171717171717172,-5.0541929106718
"19",0.181818181818182,-5.0541929106718
"20",0.191919191919192,-5.0541929106718
"21",0.202020202020202,-5.0541929106718
"22",0.212121212121212,-5.0541929106718
"23",0.222222222222222,-5.0541929106718
"24",0.232323232323232,-5.0541929106718
"25",0.242424242424242,-5.0541929106718
"26",0.252525252525253,-5.0541929106718
"27",0.262626262626263,-5.0541929106718
"28",0.272727272727273,-5.0541929106718
"29",0.282828282828283,-5.0541929106718
"30",0.292929292929293,-5.0541929106718
"31",0.303030303030303,-5.0541929106718
"32",0.313131313131313,-5.0541929106718
"33",0.323232323232323,-5.0541929106718
"34",0.333333333333333,-5.0541929106718
"35",0.343434343434343,-5.0541929106718
"36",0.353535353535354,-5.0541929106718
"37",0.363636363636364,-5.0541929106718
"38",0.373737373737374,-5.0541929106718
"39",0.383838383838384,-5.0541929106718
"40",0.393939393939394,-5.0541929106718
"41",0.404040404040404,-5.0541929106718
"42",0.414141414141414,-5.0541929106718
"43",0.424242424242424,-5.0541929106718
"44",0.434343434343434,-5.0541929106718
"45",0.444444444444444,-5.0541929106718
"46",0.454545454545455,-5.0541929106718
"47",0.464646464646465,-5.0541929106718
"48",0.474747474747475,-5.0541929106718
"49",0.484848484848485,-5.0541929106718
"50",0.494949494949495,-5.0541929106718
"51",0.505050505050505,-4.96969314443542
"52",0.515151515151515,-4.96969314443542
"53",0.525252525252525,-4.96969314443542
"54",0.535353535353535,-4.96969314443542
"55",0.545454545454546,-4.96969314443542
"56",0.555555555555556,-4.96969314443542
"57",0.565656565656566,-4.96969314443542
"58",0.575757575757576,-4.96969314443542
"59",0.585858585858586,-4.96969314443542
"60",0.595959595959596,-4.96969314443542
"61",0.606060606060606,-4.96969314443542
"62",0.616161616161616,-4.96969314443542
"63",0.626262626262626,-4.96969314443542
"64",0.636363636363636,-4.96969314443542
"65",0.646464646464647,-4.96969314443542
"66",0.656565656565657,-4.96969314443542
"67",0.666666666666667,-4.96969314443542
"68",0.676767676767677,-4.96969314443542
"69",0.686868686868687,-4.96969314443542
"70",0.696969696969697,-4.96969314443542
"71",0.707070707070707,-4.96969314443542
"72",0.717171717171717,-4.96969314443542
"73",0.727272727272727,-4.96969314443542
"74",0.737373737373737,-4.96969314443542
"75",0.747474747474748,-4.96969314443542
"76",0.757575757575758,-4.96969314443542
"77",0.767676767676768,-4.96969314443542
"78",0.777777777777778,-4.96969314443542
"79",0.787878787878788,-4.96969314443542
"80",0.797979797979798,-4.96969314443542
"81",0.808080808080808,-4.96969314443542
"82",0.818181818181818,-4.96969314443542
"83",0.828282828282828,-4.96969314443542
"84",0.838383838383838,-4.96969314443542
"85",0.848484848484849,-4.96969314443542
"86",0.858585858585859,-4.96969314443542
"87",0.868686868686869,-4.96969314443542
"88",0.878787878787879,-4.96969314443542
"89",0.888888888888889,-4.96969314443542
"90",0.898989898989899,-4.96969314443542
"91",0.909090909090909,-4.96969314443542
"92",0.919191919191919,-4.96969314443542
"93",0.929292929292929,-4.96969314443542
"94",0.939393939393939,-4.96969314443542
"95",0.94949494949495,-4.96969314443542
"96",0.95959595959596,-4.96969314443542
"97",0.96969696969697,-4.96969314443542
"98",0.97979797979798,-4.96969314443542
"99",0.98989898989899,-4.96969314443542
"100",1,-4.96969314443542
