"","MaxDiet","y"
"1","",-5.41579931902216
"2","Fish",-5.38490780984212
"3","fruit",-5.3789596164652
"4","Inv",-5.41873191423722
"5","Nect",-5.40535792629724
"6","Seed",-5.38304375869606
"7","Vect",-5.39264497069641
"8","vend",-5.38677211336691
