"","centroidX_log","y"
"1",-0.85016420203,-6.15891306385412
"2",-0.790202850547475,-6.15891306385412
"3",-0.73024149906495,-6.15891306385412
"4",-0.670280147582424,-6.15891306385412
"5",-0.610318796099899,-6.15891306385412
"6",-0.550357444617374,-6.15891306385412
"7",-0.490396093134848,-6.15891306385412
"8",-0.430434741652323,-6.15891306385412
"9",-0.370473390169798,-6.15891306385412
"10",-0.310512038687273,-6.15891306385412
"11",-0.250550687204747,-6.15891306385412
"12",-0.190589335722222,-6.15891306385412
"13",-0.130627984239697,-6.15891306385412
"14",-0.0706666327571717,-6.15891306385412
"15",-0.0107052812746463,-6.15891306385412
"16",0.0492560702078789,-6.15891306385412
"17",0.109217421690404,-6.15891306385412
"18",0.16917877317293,-6.15891306385412
"19",0.229140124655455,-6.15891306385412
"20",0.28910147613798,-6.15891306385412
"21",0.349062827620505,-6.15891306385412
"22",0.40902417910303,-6.15891306385412
"23",0.468985530585556,-6.15891306385412
"24",0.528946882068081,-6.15891306385412
"25",0.588908233550606,-6.15891306385412
"26",0.648869585033131,-6.15891306385412
"27",0.708830936515657,-6.15891306385412
"28",0.768792287998182,-6.15891306385412
"29",0.828753639480707,-6.15891306385412
"30",0.888714990963233,-6.15891306385412
"31",0.948676342445758,-6.15891306385412
"32",1.00863769392828,-6.15891306385412
"33",1.06859904541081,-6.15891306385412
"34",1.12856039689333,-6.15891306385412
"35",1.18852174837586,-6.15891306385412
"36",1.24848309985838,-6.15891306385412
"37",1.30844445134091,-6.15891306385412
"38",1.36840580282343,-6.15891306385412
"39",1.42836715430596,-6.15891306385412
"40",1.48832850578849,-6.15891306385412
"41",1.54828985727101,-6.15891306385412
"42",1.60825120875354,-6.15891306385412
"43",1.66821256023606,-6.15891306385412
"44",1.72817391171859,-6.15891306385412
"45",1.78813526320111,-6.15891306385412
"46",1.84809661468364,-6.15891306385412
"47",1.90805796616616,-6.15891306385412
"48",1.96801931764869,-6.15891306385412
"49",2.02798066913121,-6.15891306385412
"50",2.08794202061374,-6.15891306385412
"51",2.14790337209626,-6.15891306385412
"52",2.20786472357879,-6.15891306385412
"53",2.26782607506131,-6.15891306385412
"54",2.32778742654384,-6.15891306385412
"55",2.38774877802636,-6.15891306385412
"56",2.44771012950889,-6.15891306385412
"57",2.50767148099141,-6.15891306385412
"58",2.56763283247394,-6.16075765674584
"59",2.62759418395647,-6.16075765674584
"60",2.68755553543899,-6.16075765674584
"61",2.74751688692152,-6.16075765674584
"62",2.80747823840404,-6.16075765674584
"63",2.86743958988657,-6.16124794601517
"64",2.92740094136909,-6.16124794601517
"65",2.98736229285162,-6.16124794601517
"66",3.04732364433414,-6.16124794601517
"67",3.10728499581667,-6.16124794601517
"68",3.16724634729919,-6.16124794601517
"69",3.22720769878172,-6.16124794601517
"70",3.28716905026424,-6.16181385518283
"71",3.34713040174677,-6.16427609122162
"72",3.40709175322929,-6.16501832463594
"73",3.46705310471182,-6.16501832463594
"74",3.52701445619434,-6.16501832463594
"75",3.58697580767687,-6.16501832463594
"76",3.64693715915939,-6.16501832463594
"77",3.70689851064192,-6.16501832463594
"78",3.76685986212444,-6.16717760762568
"79",3.82682121360697,-6.16826294924367
"80",3.8867825650895,-6.16872782442954
"81",3.94674391657202,-6.16982364221581
"82",4.00670526805455,-6.17086913872581
"83",4.06666661953707,-6.17086913872581
"84",4.1266279710196,-6.17087192434483
"85",4.18658932250212,-6.17217123199602
"86",4.24655067398465,-6.17217123199602
"87",4.30651202546717,-6.1722799800083
"88",4.3664733769497,-6.1722799800083
"89",4.42643472843222,-6.1722799800083
"90",4.48639607991475,-6.1722799800083
"91",4.54635743139727,-6.1722799800083
"92",4.6063187828798,-6.17286705195581
"93",4.66628013436232,-6.17286705195581
"94",4.72624148584485,-6.17286705195581
"95",4.78620283732737,-6.17286705195581
"96",4.8461641888099,-6.17293373446966
"97",4.90612554029242,-6.17293373446966
"98",4.96608689177495,-6.17293373446966
"99",5.02604824325747,-6.17293373446966
"100",5.08600959474,-6.17293373446966
