"","Body_Temperature","y"
"1",305.635714286,-5.75543284424312
"2",305.721717172,-5.75543284424312
"3",305.807720058,-5.75543284424312
"4",305.893722944,-5.75543284424312
"5",305.97972583,-5.75543284424312
"6",306.065728716,-5.75543284424312
"7",306.151731602,-5.75543284424312
"8",306.237734488,-5.75543284424312
"9",306.323737374,-5.75543284424312
"10",306.40974026,-5.75543284424312
"11",306.495743146,-5.75543284424312
"12",306.581746032,-5.75543284424312
"13",306.667748918,-5.75543284424312
"14",306.753751804,-5.75543284424312
"15",306.83975469,-5.75543284424312
"16",306.925757576,-5.75543284424312
"17",307.011760462,-5.75543284424312
"18",307.097763348,-5.75543284424312
"19",307.183766234,-5.75543284424312
"20",307.26976912,-5.75543284424312
"21",307.355772006,-5.75543284424312
"22",307.441774892,-5.75543284424312
"23",307.527777778,-5.75543284424312
"24",307.613780664,-5.75543284424312
"25",307.69978355,-5.75543284424312
"26",307.785786436,-5.75543284424312
"27",307.871789322,-5.75543284424312
"28",307.957792208,-5.75543284424312
"29",308.043795094,-5.75543284424312
"30",308.12979798,-5.75543284424312
"31",308.215800866,-5.75543284424312
"32",308.301803752,-5.75543284424312
"33",308.387806638,-5.7557117333026
"34",308.473809524,-5.7557117333026
"35",308.55981241,-5.75605534680203
"36",308.645815296,-5.75605534680203
"37",308.731818182,-5.75605534680203
"38",308.817821068,-5.75605534680203
"39",308.903823954,-5.75605534680203
"40",308.98982684,-5.75605534680203
"41",309.075829726,-5.75605534680203
"42",309.161832612,-5.75605534680203
"43",309.247835498,-5.75605534680203
"44",309.333838384,-5.75605534680203
"45",309.41984127,-5.75605534680203
"46",309.505844156,-5.75605534680203
"47",309.591847042,-5.75605534680203
"48",309.677849928,-5.75767249344571
"49",309.763852814,-5.75767249344571
"50",309.8498557,-5.75767249344571
"51",309.935858586,-5.75767249344571
"52",310.021861472,-5.75767249344571
"53",310.107864358,-5.75767249344571
"54",310.193867244,-5.75767249344571
"55",310.27987013,-5.7580530844247
"56",310.365873016,-5.7580530844247
"57",310.451875902,-5.7580530844247
"58",310.537878788,-5.7580530844247
"59",310.623881674,-5.75822088236498
"60",310.70988456,-5.75822088236498
"61",310.795887446,-5.75822088236498
"62",310.881890332,-5.75822088236498
"63",310.967893218,-5.75846167291987
"64",311.053896104,-5.75846167291987
"65",311.13989899,-5.75846167291987
"66",311.225901876,-5.75846167291987
"67",311.311904762,-5.75846167291987
"68",311.397907648,-5.75824729735952
"69",311.483910534,-5.75788841117071
"70",311.56991342,-5.75786741640478
"71",311.655916306,-5.75723796946653
"72",311.741919192,-5.75723796946653
"73",311.827922078,-5.75718268680698
"74",311.913924964,-5.75718268680698
"75",311.99992785,-5.75718268680698
"76",312.085930736,-5.75718268680698
"77",312.171933622,-5.75718268680698
"78",312.257936508,-5.75718268680698
"79",312.343939394,-5.75718268680698
"80",312.42994228,-5.75718268680698
"81",312.515945166,-5.75716539223375
"82",312.601948052,-5.75716539223375
"83",312.687950938,-5.75716539223375
"84",312.773953824,-5.75716539223375
"85",312.85995671,-5.75675952756323
"86",312.945959596,-5.75675952756323
"87",313.031962482,-5.75668405917092
"88",313.117965368,-5.75636845339675
"89",313.203968254,-5.7553628663309
"90",313.28997114,-5.7553628663309
"91",313.375974026,-5.7553628663309
"92",313.461976912,-5.7553628663309
"93",313.547979798,-5.7553628663309
"94",313.633982684,-5.7553628663309
"95",313.71998557,-5.75200912214143
"96",313.805988456,-5.75200912214143
"97",313.891991342,-5.75200912214143
"98",313.977994228,-5.75200912214143
"99",314.063997114,-5.75200912214143
"100",314.15,-5.75200912214143
