"","PubmedHits_ln","y"
"1",-6.90775527898,-6.87746839796972
"2",-6.68765681324586,-6.87746839796972
"3",-6.46755834751172,-6.87746839796972
"4",-6.24745988177758,-6.87746839796972
"5",-6.02736141604343,-6.87746839796972
"6",-5.80726295030929,-6.87746839796972
"7",-5.58716448457515,-6.87746839796972
"8",-5.36706601884101,-6.87746839796972
"9",-5.14696755310687,-6.87746839796972
"10",-4.92686908737273,-6.87746839796972
"11",-4.70677062163859,-6.87746839796972
"12",-4.48667215590444,-6.87746839796972
"13",-4.2665736901703,-6.87746839796972
"14",-4.04647522443616,-6.87746839796972
"15",-3.82637675870202,-6.87746839796972
"16",-3.60627829296788,-6.87746839796972
"17",-3.38617982723374,-6.87746839796972
"18",-3.1660813614996,-6.87746839796972
"19",-2.94598289576546,-6.87746839796972
"20",-2.72588443003131,-6.87746839796972
"21",-2.50578596429717,-6.87746839796972
"22",-2.28568749856303,-6.87746839796972
"23",-2.06558903282889,-6.87746839796972
"24",-1.84549056709475,-6.87746839796972
"25",-1.62539210136061,-6.87746839796972
"26",-1.40529363562647,-6.87746839796972
"27",-1.18519516989232,-6.87746839796972
"28",-0.965096704158182,-6.87746839796972
"29",-0.744998238424041,-6.87746839796972
"30",-0.5248997726899,-6.87746839796972
"31",-0.304801306955758,-6.87746839796972
"32",-0.0847028412216169,-6.87746839796972
"33",0.135395624512524,-6.87746839796972
"34",0.355494090246665,-6.87740144291083
"35",0.575592555980807,-6.87740144291083
"36",0.795691021714949,-6.87740144291083
"37",1.01578948744909,-6.87740144291083
"38",1.23588795318323,-6.8765762917955
"39",1.45598641891737,-6.87650958809172
"40",1.67608488465151,-6.8747687336729
"41",1.89618335038566,-6.87223874443948
"42",2.1162818161198,-6.87171442979578
"43",2.33638028185394,-6.87156830406915
"44",2.55647874758808,-6.87076019402833
"45",2.77657721332222,-6.8684865499308
"46",2.99667567905636,-6.86559234880276
"47",3.2167741447905,-6.86513451879608
"48",3.43687261052465,-6.86355370248718
"49",3.65697107625879,-6.86277834040242
"50",3.87706954199293,-6.85675465239053
"51",4.09716800772707,-6.83060803206886
"52",4.31726647346121,-6.80916023383114
"53",4.53736493919535,-6.79030606798172
"54",4.75746340492949,-6.78888519160918
"55",4.97756187066364,-6.78641701249425
"56",5.19766033639778,-6.78779651323124
"57",5.41775880213192,-6.78773791706659
"58",5.63785726786606,-6.78733145105039
"59",5.8579557336002,-6.76985874992782
"60",6.07805419933434,-6.76933907345021
"61",6.29815266506848,-6.76989257117882
"62",6.51825113080262,-6.76999651655812
"63",6.73834959653677,-6.76967462721636
"64",6.95844806227091,-6.76945619435907
"65",7.17854652800505,-6.76963555254806
"66",7.39864499373919,-6.77020024499644
"67",7.61874345947333,-6.77072460735161
"68",7.83884192520747,-6.77072460735161
"69",8.05894039094161,-6.77072460735161
"70",8.27903885667576,-6.77072460735161
"71",8.4991373224099,-6.77072460735161
"72",8.71923578814404,-6.77072460735161
"73",8.93933425387818,-6.77072460735161
"74",9.15943271961232,-6.77072460735161
"75",9.37953118534646,-6.77072460735161
"76",9.5996296510806,-6.77072460735161
"77",9.81972811681475,-6.77072460735161
"78",10.0398265825489,-6.77072460735161
"79",10.259925048283,-6.77072460735161
"80",10.4800235140172,-6.77072460735161
"81",10.7001219797513,-6.77072460735161
"82",10.9202204454855,-6.77072460735161
"83",11.1403189112196,-6.77072460735161
"84",11.3604173769537,-6.77072460735161
"85",11.5805158426879,-6.77072460735161
"86",11.800614308422,-6.77072460735161
"87",12.0207127741562,-6.77072460735161
"88",12.2408112398903,-6.77072460735161
"89",12.4609097056244,-6.77072460735161
"90",12.6810081713586,-6.77072460735161
"91",12.9011066370927,-6.77072460735161
"92",13.1212051028269,-6.77072460735161
"93",13.341303568561,-6.77072460735161
"94",13.5614020342951,-6.77072460735161
"95",13.7815005000293,-6.77072460735161
"96",14.0015989657634,-6.77072460735161
"97",14.2216974314976,-6.77072460735161
"98",14.4417958972317,-6.77072460735161
"99",14.6618943629659,-6.77072460735161
"100",14.8819928287,-6.77072460735161
