"","MaxDiet","y"
"1","",-4.68891473584351
"2","Fish",-4.65569627620467
"3","fruit",-4.65744825999358
"4","Inv",-4.72602045107208
"5","Nect",-4.67446533480887
"6","PlatO",-4.58310447475531
"7","Scav",-4.27500342679144
"8","Seed",-4.61753538197849
"9","Vect",-4.63098914267156
"10","vend",-4.65467156908881
"11","Vunk",-4.66525919700518
