"","LVSTD_DS","y"
"1","High livestock",-6.85185047250866
"2","Low livestock",-6.85234882088164
"3","Moderate livestock",-6.83745930747524
"4","No data",-6.86337663917945
"5","None",-6.86596922275654
"6","Water",-6.83397895497475
