"","UROCYNCHRAMIDAE","y"
"1",0,-6.66090101500179
"2",0,-6.66090101500179
"3",0,-6.66090101500179
"4",0,-6.66090101500179
"5",0,-6.66090101500179
"6",0,-6.66090101500179
"7",0,-6.66090101500179
"8",0,-6.66090101500179
"9",0,-6.66090101500179
"10",0,-6.66090101500179
"11",0,-6.66090101500179
"12",0,-6.66090101500179
"13",0,-6.66090101500179
"14",0,-6.66090101500179
"15",0,-6.66090101500179
"16",0,-6.66090101500179
"17",0,-6.66090101500179
"18",0,-6.66090101500179
"19",0,-6.66090101500179
"20",0,-6.66090101500179
"21",0,-6.66090101500179
"22",0,-6.66090101500179
"23",0,-6.66090101500179
"24",0,-6.66090101500179
"25",0,-6.66090101500179
"26",0,-6.66090101500179
"27",0,-6.66090101500179
"28",0,-6.66090101500179
"29",0,-6.66090101500179
"30",0,-6.66090101500179
"31",0,-6.66090101500179
"32",0,-6.66090101500179
"33",0,-6.66090101500179
"34",0,-6.66090101500179
"35",0,-6.66090101500179
"36",0,-6.66090101500179
"37",0,-6.66090101500179
"38",0,-6.66090101500179
"39",0,-6.66090101500179
"40",0,-6.66090101500179
"41",0,-6.66090101500179
"42",0,-6.66090101500179
"43",0,-6.66090101500179
"44",0,-6.66090101500179
"45",0,-6.66090101500179
"46",0,-6.66090101500179
"47",0,-6.66090101500179
"48",0,-6.66090101500179
"49",0,-6.66090101500179
"50",0,-6.66090101500179
"51",0,-6.66090101500179
"52",0,-6.66090101500179
"53",0,-6.66090101500179
"54",0,-6.66090101500179
"55",0,-6.66090101500179
"56",0,-6.66090101500179
"57",0,-6.66090101500179
"58",0,-6.66090101500179
"59",0,-6.66090101500179
"60",0,-6.66090101500179
"61",0,-6.66090101500179
"62",0,-6.66090101500179
"63",0,-6.66090101500179
"64",0,-6.66090101500179
"65",0,-6.66090101500179
"66",0,-6.66090101500179
"67",0,-6.66090101500179
"68",0,-6.66090101500179
"69",0,-6.66090101500179
"70",0,-6.66090101500179
"71",0,-6.66090101500179
"72",0,-6.66090101500179
"73",0,-6.66090101500179
"74",0,-6.66090101500179
"75",0,-6.66090101500179
"76",0,-6.66090101500179
"77",0,-6.66090101500179
"78",0,-6.66090101500179
"79",0,-6.66090101500179
"80",0,-6.66090101500179
"81",0,-6.66090101500179
"82",0,-6.66090101500179
"83",0,-6.66090101500179
"84",0,-6.66090101500179
"85",0,-6.66090101500179
"86",0,-6.66090101500179
"87",0,-6.66090101500179
"88",0,-6.66090101500179
"89",0,-6.66090101500179
"90",0,-6.66090101500179
"91",0,-6.66090101500179
"92",0,-6.66090101500179
"93",0,-6.66090101500179
"94",0,-6.66090101500179
"95",0,-6.66090101500179
"96",0,-6.66090101500179
"97",0,-6.66090101500179
"98",0,-6.66090101500179
"99",0,-6.66090101500179
"100",0,-6.66090101500179
