"","bdiversity_mean","y"
"1",14,-6.66184064392203
"2",20.298798798798,-6.66184064392203
"3",26.597597597596,-6.66184064392203
"4",32.8963963963939,-6.66184064392203
"5",39.1951951951919,-6.66184064392203
"6",45.4939939939899,-6.66184064392203
"7",51.7927927927879,-6.66184064392203
"8",58.0915915915859,-6.66184064392203
"9",64.3903903903838,-6.66184064392203
"10",70.6891891891818,-6.66184064392203
"11",76.9879879879798,-6.66184064392203
"12",83.2867867867778,-6.66184064392203
"13",89.5855855855758,-6.66184064392203
"14",95.8843843843737,-6.66184064392203
"15",102.183183183172,-6.66309094845426
"16",108.48198198197,-6.66309094845426
"17",114.780780780768,-6.66309094845426
"18",121.079579579566,-6.66309094845426
"19",127.378378378364,-6.66309094845426
"20",133.677177177162,-6.66312246932607
"21",139.97597597596,-6.66317395249869
"22",146.274774774758,-6.66317395249869
"23",152.573573573556,-6.66323157304542
"24",158.872372372354,-6.66323157304542
"25",165.171171171152,-6.66309107468981
"26",171.469969969949,-6.66312427221104
"27",177.768768768747,-6.66312427221104
"28",184.067567567545,-6.66312427221104
"29",190.366366366343,-6.66312427221104
"30",196.665165165141,-6.66312427221104
"31",202.963963963939,-6.66316528538514
"32",209.262762762737,-6.66318514758796
"33",215.561561561535,-6.66318514758796
"34",221.860360360333,-6.66318514758796
"35",228.159159159131,-6.66318514758796
"36",234.457957957929,-6.66318514758796
"37",240.756756756727,-6.66318514758796
"38",247.055555555525,-6.66318514758796
"39",253.354354354323,-6.66318514758796
"40",259.653153153121,-6.6630047668496
"41",265.951951951919,-6.6629578597927
"42",272.250750750717,-6.6629578597927
"43",278.549549549515,-6.6629578597927
"44",284.848348348313,-6.6629578597927
"45",291.147147147111,-6.6629578597927
"46",297.445945945909,-6.6629578597927
"47",303.744744744707,-6.6629578597927
"48",310.043543543505,-6.66186011574865
"49",316.342342342303,-6.66186011574865
"50",322.641141141101,-6.66112046182416
"51",328.939939939899,-6.66050761423231
"52",335.238738738697,-6.65923105269827
"53",341.537537537495,-6.65833275765518
"54",347.836336336293,-6.65829338863788
"55",354.135135135091,-6.65829338863788
"56",360.433933933889,-6.65622674928995
"57",366.732732732687,-6.65611806202436
"58",373.031531531485,-6.65611806202436
"59",379.330330330283,-6.65577070583011
"60",385.629129129081,-6.65669066810122
"61",391.927927927879,-6.65584213446886
"62",398.226726726677,-6.65429161192411
"63",404.525525525475,-6.65429161192411
"64",410.824324324273,-6.65429161192411
"65",417.123123123071,-6.65429161192411
"66",423.421921921869,-6.65429161192411
"67",429.720720720667,-6.65429161192411
"68",436.019519519465,-6.65429161192411
"69",442.318318318263,-6.65429161192411
"70",448.617117117061,-6.65429161192411
"71",454.915915915859,-6.65429161192411
"72",461.214714714657,-6.65429161192411
"73",467.513513513455,-6.65429161192411
"74",473.812312312253,-6.65429161192411
"75",480.11111111105,-6.65429161192411
"76",486.409909909848,-6.65429161192411
"77",492.708708708646,-6.65429161192411
"78",499.007507507444,-6.65429161192411
"79",505.306306306242,-6.65429161192411
"80",511.60510510504,-6.65429161192411
"81",517.903903903838,-6.65429161192411
"82",524.202702702636,-6.65429161192411
"83",530.501501501434,-6.65429161192411
"84",536.800300300232,-6.65429161192411
"85",543.09909909903,-6.65429161192411
"86",549.397897897828,-6.65429161192411
"87",555.696696696626,-6.65429161192411
"88",561.995495495424,-6.65429161192411
"89",568.294294294222,-6.65429161192411
"90",574.59309309302,-6.65429161192411
"91",580.891891891818,-6.65429161192411
"92",587.190690690616,-6.65429161192411
"93",593.489489489414,-6.65429161192411
"94",599.788288288212,-6.65429161192411
"95",606.08708708701,-6.65429161192411
"96",612.385885885808,-6.65429161192411
"97",618.684684684606,-6.65429161192411
"98",624.983483483404,-6.65429161192411
"99",631.282282282202,-6.65429161192411
"100",637.581081081,-6.65429161192411
