"","MaxDiet","y"
"1","",-4.93115832796191
"2","Fish",-4.87421788752621
"3","fruit",-4.88712594507857
"4","Inv",-4.92639148355052
"5","Nect",-4.90766529897272
"6","PlatO",-4.94669645724942
"7","Scav",-4.32961923257048
"8","Seed",-4.90537001650439
"9","Vect",-4.86651427978311
"10","vend",-4.90316063201007
"11","Vunk",-4.54390050954316
