"","Bio1_mean","y"
"1",-14.9887410605,-5.62462613619235
"2",-14.5459378916202,-5.62462613619235
"3",-14.1031347227404,-5.62462613619235
"4",-13.6603315538606,-5.62462613619235
"5",-13.2175283849808,-5.62462613619235
"6",-12.774725216101,-5.62462613619235
"7",-12.3319220472212,-5.62462613619235
"8",-11.8891188783414,-5.62649606674595
"9",-11.4463157094616,-5.67973344561515
"10",-11.0035125405818,-5.72405043383422
"11",-10.560709371702,-5.73450408042802
"12",-10.1179062028222,-5.73842540037265
"13",-9.67510303394242,-5.74731202682345
"14",-9.23229986506263,-5.74905272608191
"15",-8.78949669618283,-5.75749773315864
"16",-8.34669352730303,-5.75749773315864
"17",-7.90389035842323,-5.76078688536157
"18",-7.46108718954344,-5.76078688536157
"19",-7.01828402066364,-5.76078688536157
"20",-6.57548085178384,-5.76078688536157
"21",-6.13267768290404,-5.76078688536157
"22",-5.68987451402424,-5.76078688536157
"23",-5.24707134514444,-5.76078688536157
"24",-4.80426817626465,-5.76078688536157
"25",-4.36146500738485,-5.76078688536157
"26",-3.91866183850505,-5.76078688536157
"27",-3.47585866962525,-5.76078688536157
"28",-3.03305550074545,-5.76078688536157
"29",-2.59025233186566,-5.76078688536157
"30",-2.14744916298586,-5.76078688536157
"31",-1.70464599410606,-5.76072562079785
"32",-1.26184282522626,-5.7550998348714
"33",-0.819039656346465,-5.73718183192014
"34",-0.376236487466667,-5.73718183192014
"35",0.0665666814131303,-5.73958219023802
"36",0.509369850292929,-5.74091277012352
"37",0.952173019172726,-5.7644770386901
"38",1.39497618805252,-5.76825710924502
"39",1.83777935693232,-5.76868138710105
"40",2.28058252581212,-5.76910827265283
"41",2.72338569469192,-5.76917575740833
"42",3.16618886357172,-5.76920191116749
"43",3.60899203245151,-5.76929772967156
"44",4.05179520133131,-5.76766712737544
"45",4.49459837021111,-5.76764662444537
"46",4.93740153909091,-5.76691313627332
"47",5.38020470797071,-5.76693245744068
"48",5.8230078768505,-5.76693245744068
"49",6.2658110457303,-5.76689316985911
"50",6.7086142146101,-5.76420264838784
"51",7.1514173834899,-5.76304446278358
"52",7.59422055236969,-5.75745335639866
"53",8.03702372124949,-5.75612123165166
"54",8.47982689012929,-5.75261371041368
"55",8.92263005900909,-5.75063437440371
"56",9.36543322788889,-5.75026260870205
"57",9.80823639676869,-5.74940235216222
"58",10.2510395656485,-5.74902870900482
"59",10.6938427345283,-5.7432705943358
"60",11.1366459034081,-5.74317357214454
"61",11.5794490722879,-5.7434853230059
"62",12.0222522411677,-5.74424423691521
"63",12.4650554100475,-5.74503986229967
"64",12.9078585789273,-5.74682597898265
"65",13.3506617478071,-5.74876935679018
"66",13.7934649166869,-5.74971643334487
"67",14.2362680855667,-5.75046668282817
"68",14.6790712544465,-5.75142461565796
"69",15.1218744233263,-5.75167772591873
"70",15.5646775922061,-5.75218927990562
"71",16.0074807610859,-5.75221081503756
"72",16.4502839299657,-5.75221695708929
"73",16.8930870988455,-5.75225455241389
"74",17.3358902677253,-5.75257520088637
"75",17.778693436605,-5.7527355005921
"76",18.2214966054848,-5.75280401785751
"77",18.6642997743646,-5.75280401785751
"78",19.1071029432444,-5.75280401785751
"79",19.5499061121242,-5.75280401785751
"80",19.992709281004,-5.75281913873116
"81",20.4355124498838,-5.75281913873116
"82",20.8783156187636,-5.75278936986713
"83",21.3211187876434,-5.75273576241525
"84",21.7639219565232,-5.75264021997757
"85",22.206725125403,-5.75228830573526
"86",22.6495282942828,-5.75217652465956
"87",23.0923314631626,-5.75217652465956
"88",23.5351346320424,-5.75167938183692
"89",23.9779378009222,-5.75234837892419
"90",24.420740969802,-5.75273838244344
"91",24.8635441386818,-5.75278033112136
"92",25.3063473075616,-5.75280777224528
"93",25.7491504764414,-5.75280777224528
"94",26.1919536453212,-5.75280777224528
"95",26.634756814201,-5.75280777224528
"96",27.0775599830808,-5.75280777224528
"97",27.5203631519606,-5.75280777224528
"98",27.9631663208404,-5.75280777224528
"99",28.4059694897202,-5.75280777224528
"100",28.8487726586,-5.75280777224528
