"","EURYPYGIDAE","y"
"1",0,-4.66923921254295
"2",0,-4.66923921254295
"3",0,-4.66923921254295
"4",0,-4.66923921254295
"5",0,-4.66923921254295
"6",0,-4.66923921254295
"7",0,-4.66923921254295
"8",0,-4.66923921254295
"9",0,-4.66923921254295
"10",0,-4.66923921254295
"11",0,-4.66923921254295
"12",0,-4.66923921254295
"13",0,-4.66923921254295
"14",0,-4.66923921254295
"15",0,-4.66923921254295
"16",0,-4.66923921254295
"17",0,-4.66923921254295
"18",0,-4.66923921254295
"19",0,-4.66923921254295
"20",0,-4.66923921254295
"21",0,-4.66923921254295
"22",0,-4.66923921254295
"23",0,-4.66923921254295
"24",0,-4.66923921254295
"25",0,-4.66923921254295
"26",0,-4.66923921254295
"27",0,-4.66923921254295
"28",0,-4.66923921254295
"29",0,-4.66923921254295
"30",0,-4.66923921254295
"31",0,-4.66923921254295
"32",0,-4.66923921254295
"33",0,-4.66923921254295
"34",0,-4.66923921254295
"35",0,-4.66923921254295
"36",0,-4.66923921254295
"37",0,-4.66923921254295
"38",0,-4.66923921254295
"39",0,-4.66923921254295
"40",0,-4.66923921254295
"41",0,-4.66923921254295
"42",0,-4.66923921254295
"43",0,-4.66923921254295
"44",0,-4.66923921254295
"45",0,-4.66923921254295
"46",0,-4.66923921254295
"47",0,-4.66923921254295
"48",0,-4.66923921254295
"49",0,-4.66923921254295
"50",0,-4.66923921254295
"51",0,-4.66923921254295
"52",0,-4.66923921254295
"53",0,-4.66923921254295
"54",0,-4.66923921254295
"55",0,-4.66923921254295
"56",0,-4.66923921254295
"57",0,-4.66923921254295
"58",0,-4.66923921254295
"59",0,-4.66923921254295
"60",0,-4.66923921254295
"61",0,-4.66923921254295
"62",0,-4.66923921254295
"63",0,-4.66923921254295
"64",0,-4.66923921254295
"65",0,-4.66923921254295
"66",0,-4.66923921254295
"67",0,-4.66923921254295
"68",0,-4.66923921254295
"69",0,-4.66923921254295
"70",0,-4.66923921254295
"71",0,-4.66923921254295
"72",0,-4.66923921254295
"73",0,-4.66923921254295
"74",0,-4.66923921254295
"75",0,-4.66923921254295
"76",0,-4.66923921254295
"77",0,-4.66923921254295
"78",0,-4.66923921254295
"79",0,-4.66923921254295
"80",0,-4.66923921254295
"81",0,-4.66923921254295
"82",0,-4.66923921254295
"83",0,-4.66923921254295
"84",0,-4.66923921254295
"85",0,-4.66923921254295
"86",0,-4.66923921254295
"87",0,-4.66923921254295
"88",0,-4.66923921254295
"89",0,-4.66923921254295
"90",0,-4.66923921254295
"91",0,-4.66923921254295
"92",0,-4.66923921254295
"93",0,-4.66923921254295
"94",0,-4.66923921254295
"95",0,-4.66923921254295
"96",0,-4.66923921254295
"97",0,-4.66923921254295
"98",0,-4.66923921254295
"99",0,-4.66923921254295
"100",0,-4.66923921254295
