"","SLP_DS","y"
"1","> 45",-6.38769234933558
"2","0 to 0.5",-6.38226599928036
"3","0.5 to 2",-6.38695100889138
"4","16 to 30",-6.38799552281875
"5","2 to 5",-6.38442032382185
"6","30 to 45",-6.38730948644436
"7","5 to 8",-6.38897572356362
"8","8 to 16",-6.38658463323015
"9","no data",-6.3876340490194
"10","Water",-6.38660745968208
