"","IUCN.Status","y"
"1","",-5.40711725359287
"2","CR",-5.40663458440156
"3","DD",-5.40870817524083
"4","EN",-5.40814031717239
"5","LC",-5.40914144635293
"6","NT",-5.38889640106248
"7","VU",-5.40647806304623
