"","minlat","y"
"1",-55.9794644069,-5.81589654682093
"2",-54.6990482452869,-5.81589654682093
"3",-53.4186320836737,-5.81589654682093
"4",-52.1382159220606,-5.82991001701541
"5",-50.8577997604475,-5.84864832842541
"6",-49.5773835988343,-5.87372740481609
"7",-48.2969674372212,-5.9233617738102
"8",-47.0165512756081,-5.99194857697711
"9",-45.7361351139949,-6.06793215735517
"10",-44.4557189523818,-6.09418035391857
"11",-43.1753027907687,-6.1415491263943
"12",-41.8948866291556,-6.14735669096224
"13",-40.6144704675424,-6.14735669096224
"14",-39.3340543059293,-6.14735669096224
"15",-38.0536381443162,-6.14735669096224
"16",-36.773221982703,-6.14735669096224
"17",-35.4928058210899,-6.14735669096224
"18",-34.2123896594768,-6.14733788237827
"19",-32.9319734978636,-6.14733788237827
"20",-31.6515573362505,-6.14733788237827
"21",-30.3711411746374,-6.1499139887041
"22",-29.0907250130242,-6.1499139887041
"23",-27.8103088514111,-6.1499139887041
"24",-26.529892689798,-6.15014760129857
"25",-25.2494765281849,-6.15014760129857
"26",-23.9690603665717,-6.15014760129857
"27",-22.6886442049586,-6.15014760129857
"28",-21.4082280433455,-6.15398719252068
"29",-20.1278118817323,-6.15660909243799
"30",-18.8473957201192,-6.15660909243799
"31",-17.5669795585061,-6.15660909243799
"32",-16.2865633968929,-6.15660909243799
"33",-15.0061472352798,-6.15680696959652
"34",-13.7257310736667,-6.15680696959652
"35",-12.4453149120535,-6.15968529628187
"36",-11.1648987504404,-6.16173999191804
"37",-9.88448258882728,-6.16173999191804
"38",-8.60406642721414,-6.16216609666915
"39",-7.32365026560101,-6.16291535937783
"40",-6.04323410398788,-6.163453409766
"41",-4.76281794237475,-6.16736458005222
"42",-3.48240178076161,-6.1730699362917
"43",-2.20198561914849,-6.17582850562855
"44",-0.921569457535355,-6.17937605672476
"45",0.358846704077777,-6.17963738878722
"46",1.63926286569091,-6.18065268285543
"47",2.91967902730404,-6.18065268285543
"48",4.20009518891717,-6.18096827747081
"49",5.4805113505303,-6.18108179736784
"50",6.76092751214343,-6.18116958034177
"51",8.04134367375656,-6.18116958034177
"52",9.3217598353697,-6.18128032211435
"53",10.6021759969828,-6.18128032211435
"54",11.882592158596,-6.18128032211435
"55",13.1630083202091,-6.18137529608242
"56",14.4434244818222,-6.18137529608242
"57",15.7238406434354,-6.18137529608242
"58",17.0042568050485,-6.18137529608242
"59",18.2846729666616,-6.18137529608242
"60",19.5650891282747,-6.18137529608242
"61",20.8455052898879,-6.18137529608242
"62",22.125921451501,-6.18137529608242
"63",23.4063376131141,-6.18137529608242
"64",24.6867537747273,-6.18137529608242
"65",25.9671699363404,-6.18137529608242
"66",27.2475860979535,-6.18137529608242
"67",28.5280022595667,-6.18137529608242
"68",29.8084184211798,-6.18137529608242
"69",31.0888345827929,-6.18149090135482
"70",32.3692507444061,-6.18149090135482
"71",33.6496669060192,-6.18149090135482
"72",34.9300830676323,-6.18149090135482
"73",36.2104992292454,-6.18149090135482
"74",37.4909153908586,-6.18149090135482
"75",38.7713315524717,-6.18149090135482
"76",40.0517477140848,-6.18149090135482
"77",41.332163875698,-6.18149090135482
"78",42.6125800373111,-6.18149090135482
"79",43.8929961989242,-6.18149090135482
"80",45.1734123605374,-6.18149090135482
"81",46.4538285221505,-6.18149090135482
"82",47.7342446837636,-6.18149090135482
"83",49.0146608453768,-6.18149090135482
"84",50.2950770069899,-6.18149090135482
"85",51.575493168603,-6.18149090135482
"86",52.8559093302162,-6.18149090135482
"87",54.1363254918293,-6.18149090135482
"88",55.4167416534424,-6.18149090135482
"89",56.6971578150556,-6.18149090135482
"90",57.9775739766687,-6.18149090135482
"91",59.2579901382818,-6.18149090135482
"92",60.538406299895,-6.18149090135482
"93",61.8188224615081,-6.18149090135482
"94",63.0992386231212,-6.18149090135482
"95",64.3796547847344,-6.18149090135482
"96",65.6600709463475,-6.18149090135482
"97",66.9404871079606,-6.18149090135482
"98",68.2209032695737,-6.18149090135482
"99",69.5013194311869,-6.18149090135482
"100",70.7817355928,-6.18149090135482
