"","SLP_DS","y"
"1","> 45",-6.85636149346938
"2","0 to 0.5",-6.84792751055506
"3","0.5 to 2",-6.85685558248235
"4","16 to 30",-6.85320880538863
"5","2 to 5",-6.85693171487674
"6","30 to 45",-6.8522886615272
"7","5 to 8",-6.85007167620594
"8","8 to 16",-6.85271489162716
"9","no data",-6.85887168704212
"10","Water",-6.84834869556991
