"","Body_Temperature","y"
"1",305.635714286,-6.05571261643545
"2",305.721717172,-6.05571261643545
"3",305.807720058,-6.05571261643545
"4",305.893722944,-6.05571261643545
"5",305.97972583,-6.05571261643545
"6",306.065728716,-6.05571261643545
"7",306.151731602,-6.05571261643545
"8",306.237734488,-6.05571261643545
"9",306.323737374,-6.05571261643545
"10",306.40974026,-6.05571261643545
"11",306.495743146,-6.05571261643545
"12",306.581746032,-6.05571261643545
"13",306.667748918,-6.05571261643545
"14",306.753751804,-6.05571261643545
"15",306.83975469,-6.05571261643545
"16",306.925757576,-6.05571261643545
"17",307.011760462,-6.05571261643545
"18",307.097763348,-6.05571261643545
"19",307.183766234,-6.05571261643545
"20",307.26976912,-6.05571261643545
"21",307.355772006,-6.05571261643545
"22",307.441774892,-6.05571261643545
"23",307.527777778,-6.05571261643545
"24",307.613780664,-6.05571261643545
"25",307.69978355,-6.05571261643545
"26",307.785786436,-6.05571261643545
"27",307.871789322,-6.05571261643545
"28",307.957792208,-6.05571261643545
"29",308.043795094,-6.05571261643545
"30",308.12979798,-6.05571261643545
"31",308.215800866,-6.05571261643545
"32",308.301803752,-6.05571261643545
"33",308.387806638,-6.05571261643545
"34",308.473809524,-6.05571261643545
"35",308.55981241,-6.05571261643545
"36",308.645815296,-6.05571261643545
"37",308.731818182,-6.05571261643545
"38",308.817821068,-6.05571261643545
"39",308.903823954,-6.15773236916692
"40",308.98982684,-6.16543178299299
"41",309.075829726,-6.1668638960017
"42",309.161832612,-6.17054369461845
"43",309.247835498,-6.17779726599117
"44",309.333838384,-6.17779726599117
"45",309.41984127,-6.17875066142948
"46",309.505844156,-6.17875066142948
"47",309.591847042,-6.17875066142948
"48",309.677849928,-6.17875066142948
"49",309.763852814,-6.17875066142948
"50",309.8498557,-6.17875066142948
"51",309.935858586,-6.17875066142948
"52",310.021861472,-6.17875066142948
"53",310.107864358,-6.17875066142948
"54",310.193867244,-6.17875066142948
"55",310.27987013,-6.17875066142948
"56",310.365873016,-6.17875066142948
"57",310.451875902,-6.17875066142948
"58",310.537878788,-6.17875066142948
"59",310.623881674,-6.1794105392725
"60",310.70988456,-6.1794105392725
"61",310.795887446,-6.17923495958888
"62",310.881890332,-6.17923495958888
"63",310.967893218,-6.17923495958888
"64",311.053896104,-6.17923495958888
"65",311.13989899,-6.17923495958888
"66",311.225901876,-6.17923495958888
"67",311.311904762,-6.17923495958888
"68",311.397907648,-6.17923495958888
"69",311.483910534,-6.17923495958888
"70",311.56991342,-6.17923495958888
"71",311.655916306,-6.17923495958888
"72",311.741919192,-6.17923495958888
"73",311.827922078,-6.17923495958888
"74",311.913924964,-6.17923495958888
"75",311.99992785,-6.17923495958888
"76",312.085930736,-6.17923495958888
"77",312.171933622,-6.17923495958888
"78",312.257936508,-6.17923495958888
"79",312.343939394,-6.17923495958888
"80",312.42994228,-6.17923495958888
"81",312.515945166,-6.17923495958888
"82",312.601948052,-6.17923495958888
"83",312.687950938,-6.17923495958888
"84",312.773953824,-6.17923495958888
"85",312.85995671,-6.17923495958888
"86",312.945959596,-6.17923495958888
"87",313.031962482,-6.17923495958888
"88",313.117965368,-6.17923495958888
"89",313.203968254,-6.17923495958888
"90",313.28997114,-6.17923495958888
"91",313.375974026,-6.17923495958888
"92",313.461976912,-6.17923495958888
"93",313.547979798,-6.17923495958888
"94",313.633982684,-6.17923495958888
"95",313.71998557,-6.17923495958888
"96",313.805988456,-6.17923495958888
"97",313.891991342,-6.17923495958888
"98",313.977994228,-6.17923495958888
"99",314.063997114,-6.17923495958888
"100",314.15,-6.17923495958888
