"","IUCN.Status","y"
"1","",-4.6154645437988
"2","CR",-4.66931042527348
"3","CR (PE)",-4.65749131467709
"4","CR (PEW)",-4.61556223888629
"5","DD",-4.66565208933259
"6","EN",-4.6601384159283
"7","EW",-4.65093708560177
"8","EX",-4.66612249533001
"9","LC",-4.6700507097501
"10","NT",-4.66582505178637
"11","RE",-4.65648538496673
"12","VU",-4.66392807925515
