"","bdiversity_mean","y"
"1",8.59099335482,-5.75576412496329
"2",14.9193671593168,-5.75576412496329
"3",21.2477409638135,-5.75576412496329
"4",27.5761147683103,-5.75576412496329
"5",33.9044885728071,-5.75576412496329
"6",40.2328623773038,-5.75576412496329
"7",46.5612361818006,-5.75576412496329
"8",52.8896099862974,-5.75576412496329
"9",59.2179837907942,-5.75576412496329
"10",65.5463575952909,-5.75576412496329
"11",71.8747313997877,-5.75576412496329
"12",78.2031052042845,-5.75576412496329
"13",84.5314790087812,-5.75576412496329
"14",90.859852813278,-5.75576412496329
"15",97.1882266177748,-5.75576412496329
"16",103.516600422272,-5.75609679378047
"17",109.844974226768,-5.75609679378047
"18",116.173348031265,-5.75609679378047
"19",122.501721835762,-5.75609679378047
"20",128.830095640259,-5.75613655086044
"21",135.158469444755,-5.75552119866168
"22",141.486843249252,-5.75433944106857
"23",147.815217053749,-5.75311384070738
"24",154.143590858246,-5.75298489786707
"25",160.471964662742,-5.75225301569909
"26",166.800338467239,-5.75188343004995
"27",173.128712271736,-5.75200296462579
"28",179.457086076233,-5.75247127611362
"29",185.78545988073,-5.75209986983517
"30",192.113833685226,-5.75378489874546
"31",198.442207489723,-5.75387919224122
"32",204.77058129422,-5.75408361025095
"33",211.098955098717,-5.75407415378086
"34",217.427328903213,-5.75419012782258
"35",223.75570270771,-5.75421165847717
"36",230.084076512207,-5.75418477402565
"37",236.412450316704,-5.75233947059747
"38",242.7408241212,-5.75235206234395
"39",249.069197925697,-5.75239644114763
"40",255.397571730194,-5.75247621590017
"41",261.725945534691,-5.75249640511536
"42",268.054319339188,-5.75260254314527
"43",274.382693143684,-5.75260254314527
"44",280.711066948181,-5.75264622910243
"45",287.039440752678,-5.75267686749655
"46",293.367814557175,-5.75267686749655
"47",299.696188361671,-5.75267686749655
"48",306.024562166168,-5.75267686749655
"49",312.352935970665,-5.75267686749655
"50",318.681309775162,-5.75267530636358
"51",325.009683579658,-5.75255368728084
"52",331.338057384155,-5.75232745631726
"53",337.666431188652,-5.75215163964167
"54",343.994804993149,-5.75215163964167
"55",350.323178797646,-5.75212699222483
"56",356.651552602142,-5.75212699222483
"57",362.979926406639,-5.75212699222483
"58",369.308300211136,-5.75212699222483
"59",375.636674015633,-5.7521089443224
"60",381.965047820129,-5.7521089443224
"61",388.293421624626,-5.75197077365676
"62",394.621795429123,-5.75197077365676
"63",400.95016923362,-5.75212349273038
"64",407.278543038116,-5.75212349273038
"65",413.606916842613,-5.75212349273038
"66",419.93529064711,-5.75212349273038
"67",426.263664451607,-5.7520050344278
"68",432.592038256104,-5.7520050344278
"69",438.9204120606,-5.7520050344278
"70",445.248785865097,-5.7520050344278
"71",451.577159669594,-5.7520050344278
"72",457.905533474091,-5.7520050344278
"73",464.233907278587,-5.7520050344278
"74",470.562281083084,-5.7520050344278
"75",476.890654887581,-5.7520050344278
"76",483.219028692078,-5.7520050344278
"77",489.547402496574,-5.7520050344278
"78",495.875776301071,-5.7520050344278
"79",502.204150105568,-5.7520050344278
"80",508.532523910065,-5.7520050344278
"81",514.860897714562,-5.7520050344278
"82",521.189271519058,-5.7520050344278
"83",527.517645323555,-5.7520050344278
"84",533.846019128052,-5.7520050344278
"85",540.174392932548,-5.7520050344278
"86",546.502766737045,-5.7520050344278
"87",552.831140541542,-5.7520050344278
"88",559.159514346039,-5.7520050344278
"89",565.487888150536,-5.7520050344278
"90",571.816261955032,-5.7520050344278
"91",578.144635759529,-5.7520050344278
"92",584.473009564026,-5.7520050344278
"93",590.801383368523,-5.7520050344278
"94",597.129757173019,-5.7520050344278
"95",603.458130977516,-5.7520050344278
"96",609.786504782013,-5.7520050344278
"97",616.11487858651,-5.7520050344278
"98",622.443252391007,-5.7520050344278
"99",628.771626195503,-5.7520050344278
"100",635.1,-5.7520050344278
