"","DIDELPHIDAE","y"
"1",0,-6.39913989666216
"2",0.0101010101010101,-6.39913989666216
"3",0.0202020202020202,-6.39913989666216
"4",0.0303030303030303,-6.39913989666216
"5",0.0404040404040404,-6.39913989666216
"6",0.0505050505050505,-6.39913989666216
"7",0.0606060606060606,-6.39913989666216
"8",0.0707070707070707,-6.39913989666216
"9",0.0808080808080808,-6.39913989666216
"10",0.0909090909090909,-6.39913989666216
"11",0.101010101010101,-6.39913989666216
"12",0.111111111111111,-6.39913989666216
"13",0.121212121212121,-6.39913989666216
"14",0.131313131313131,-6.39913989666216
"15",0.141414141414141,-6.39913989666216
"16",0.151515151515152,-6.39913989666216
"17",0.161616161616162,-6.39913989666216
"18",0.171717171717172,-6.39913989666216
"19",0.181818181818182,-6.39913989666216
"20",0.191919191919192,-6.39913989666216
"21",0.202020202020202,-6.39913989666216
"22",0.212121212121212,-6.39913989666216
"23",0.222222222222222,-6.39913989666216
"24",0.232323232323232,-6.39913989666216
"25",0.242424242424242,-6.39913989666216
"26",0.252525252525253,-6.39913989666216
"27",0.262626262626263,-6.39913989666216
"28",0.272727272727273,-6.39913989666216
"29",0.282828282828283,-6.39913989666216
"30",0.292929292929293,-6.39913989666216
"31",0.303030303030303,-6.39913989666216
"32",0.313131313131313,-6.39913989666216
"33",0.323232323232323,-6.39913989666216
"34",0.333333333333333,-6.39913989666216
"35",0.343434343434343,-6.39913989666216
"36",0.353535353535354,-6.39913989666216
"37",0.363636363636364,-6.39913989666216
"38",0.373737373737374,-6.39913989666216
"39",0.383838383838384,-6.39913989666216
"40",0.393939393939394,-6.39913989666216
"41",0.404040404040404,-6.39913989666216
"42",0.414141414141414,-6.39913989666216
"43",0.424242424242424,-6.39913989666216
"44",0.434343434343434,-6.39913989666216
"45",0.444444444444444,-6.39913989666216
"46",0.454545454545455,-6.39913989666216
"47",0.464646464646465,-6.39913989666216
"48",0.474747474747475,-6.39913989666216
"49",0.484848484848485,-6.39913989666216
"50",0.494949494949495,-6.39913989666216
"51",0.505050505050505,-5.98933916881165
"52",0.515151515151515,-5.98933916881165
"53",0.525252525252525,-5.98933916881165
"54",0.535353535353535,-5.98933916881165
"55",0.545454545454546,-5.98933916881165
"56",0.555555555555556,-5.98933916881165
"57",0.565656565656566,-5.98933916881165
"58",0.575757575757576,-5.98933916881165
"59",0.585858585858586,-5.98933916881165
"60",0.595959595959596,-5.98933916881165
"61",0.606060606060606,-5.98933916881165
"62",0.616161616161616,-5.98933916881165
"63",0.626262626262626,-5.98933916881165
"64",0.636363636363636,-5.98933916881165
"65",0.646464646464647,-5.98933916881165
"66",0.656565656565657,-5.98933916881165
"67",0.666666666666667,-5.98933916881165
"68",0.676767676767677,-5.98933916881165
"69",0.686868686868687,-5.98933916881165
"70",0.696969696969697,-5.98933916881165
"71",0.707070707070707,-5.98933916881165
"72",0.717171717171717,-5.98933916881165
"73",0.727272727272727,-5.98933916881165
"74",0.737373737373737,-5.98933916881165
"75",0.747474747474748,-5.98933916881165
"76",0.757575757575758,-5.98933916881165
"77",0.767676767676768,-5.98933916881165
"78",0.777777777777778,-5.98933916881165
"79",0.787878787878788,-5.98933916881165
"80",0.797979797979798,-5.98933916881165
"81",0.808080808080808,-5.98933916881165
"82",0.818181818181818,-5.98933916881165
"83",0.828282828282828,-5.98933916881165
"84",0.838383838383838,-5.98933916881165
"85",0.848484848484849,-5.98933916881165
"86",0.858585858585859,-5.98933916881165
"87",0.868686868686869,-5.98933916881165
"88",0.878787878787879,-5.98933916881165
"89",0.888888888888889,-5.98933916881165
"90",0.898989898989899,-5.98933916881165
"91",0.909090909090909,-5.98933916881165
"92",0.919191919191919,-5.98933916881165
"93",0.929292929292929,-5.98933916881165
"94",0.939393939393939,-5.98933916881165
"95",0.94949494949495,-5.98933916881165
"96",0.95959595959596,-5.98933916881165
"97",0.96969696969697,-5.98933916881165
"98",0.97979797979798,-5.98933916881165
"99",0.98989898989899,-5.98933916881165
"100",1,-5.98933916881165
