"","MaxDiet","y"
"1","",-6.6368926764788
"2","Fish",-6.64322597485008
"3","fruit",-6.65666454914978
"4","Inv",-6.65730066406003
"5","Nect",-6.64920147791313
"6","PlatO",-6.655289583303
"7","Scav",-6.65080455874409
"8","Seed",-6.65262402725638
"9","Vect",-6.64901419812384
"10","vend",-6.65278216850076
"11","Vunk",-6.65120653346159
