"","SLP_DS","y"
"1","> 45",-4.67302103315225
"2","0 to 0.5",-4.64718156205323
"3","0.5 to 2",-4.66899494618824
"4","16 to 30",-4.67242750567852
"5","2 to 5",-4.65941319497735
"6","30 to 45",-4.6658537393974
"7","5 to 8",-4.67414989360709
"8","8 to 16",-4.66808966051893
"9","no data",-4.67980443581166
"10","Water",-4.66297771547644
