"","SLP_DS","y"
"1","> 45",-6.63838225874889
"2","0 to 0.5",-6.63265476865852
"3","0.5 to 2",-6.66279701165288
"4","16 to 30",-6.65844774439466
"5","2 to 5",-6.6649976735645
"6","30 to 45",-6.65867697763692
"7","5 to 8",-6.65790936848323
"8","8 to 16",-6.64331620825857
"9","no data",-6.66071413017036
"10","Water",-6.63614484733697
