"","HuPop_mean_log","y"
"1",-6.90775527898,-5.84681440758508
"2",-6.74949504530707,-5.84681440758508
"3",-6.59123481163414,-5.84681440758508
"4",-6.43297457796121,-5.84681440758508
"5",-6.27471434428828,-5.84681440758508
"6",-6.11645411061535,-5.84681440758508
"7",-5.95819387694242,-5.84681440758508
"8",-5.79993364326949,-5.84681440758508
"9",-5.64167340959657,-5.84681440758508
"10",-5.48341317592364,-5.84681440758508
"11",-5.32515294225071,-5.85043697698116
"12",-5.16689270857778,-5.85043697698116
"13",-5.00863247490485,-5.85043697698116
"14",-4.85037224123192,-5.85677243289582
"15",-4.69211200755899,-5.86524228116663
"16",-4.53385177388606,-5.86847648563229
"17",-4.37559154021313,-5.86847648563229
"18",-4.2173313065402,-5.86847648563229
"19",-4.05907107286727,-5.89828248071941
"20",-3.90081083919434,-5.89828248071941
"21",-3.74255060552141,-5.9295293805911
"22",-3.58429037184848,-5.96046564757972
"23",-3.42603013817556,-5.97549014193859
"24",-3.26776990450263,-6.08396895245868
"25",-3.1095096708297,-6.14128445308762
"26",-2.95124943715677,-6.15999221753145
"27",-2.79298920348384,-6.15999221753145
"28",-2.63472896981091,-6.16774559336767
"29",-2.47646873613798,-6.17147911990639
"30",-2.31820850246505,-6.17147911990639
"31",-2.15994826879212,-6.17147911990639
"32",-2.00168803511919,-6.17147911990639
"33",-1.84342780144626,-6.17147911990639
"34",-1.68516756777333,-6.17147911990639
"35",-1.5269073341004,-6.17147911990639
"36",-1.36864710042747,-6.17147911990639
"37",-1.21038686675455,-6.17147911990639
"38",-1.05212663308162,-6.17147911990639
"39",-0.893866399408687,-6.17147911990639
"40",-0.735606165735757,-6.17147911990639
"41",-0.577345932062828,-6.17147911990639
"42",-0.419085698389899,-6.17147911990639
"43",-0.260825464716969,-6.17147911990639
"44",-0.10256523104404,-6.17147911990639
"45",0.0556950026288892,-6.17147911990639
"46",0.213955236301818,-6.17147911990639
"47",0.372215469974748,-6.17147911990639
"48",0.530475703647677,-6.17147911990639
"49",0.688735937320606,-6.17147911990639
"50",0.846996170993536,-6.17147911990639
"51",1.00525640466646,-6.17147911990639
"52",1.16351663833939,-6.17147911990639
"53",1.32177687201232,-6.17147911990639
"54",1.48003710568525,-6.17147911990639
"55",1.63829733935818,-6.17331524646656
"56",1.79655757303111,-6.17331524646656
"57",1.95481780670404,-6.17331524646656
"58",2.11307804037697,-6.17331524646656
"59",2.2713382740499,-6.17331524646656
"60",2.42959850772283,-6.17331524646656
"61",2.58785874139576,-6.17331524646656
"62",2.74611897506869,-6.17312211177569
"63",2.90437920874162,-6.17312211177569
"64",3.06263944241454,-6.17326251698038
"65",3.22089967608748,-6.17326651497083
"66",3.37915990976041,-6.17339369695926
"67",3.53742014343333,-6.17348109128348
"68",3.69568037710626,-6.17360008937294
"69",3.85394061077919,-6.17345329234522
"70",4.01220084445212,-6.17366541714865
"71",4.17046107812505,-6.17338598777036
"72",4.32872131179798,-6.17310029395839
"73",4.48698154547091,-6.17234584731008
"74",4.64524177914384,-6.17129218300021
"75",4.80350201281677,-6.17088779483297
"76",4.9617622464897,-6.1705670678155
"77",5.12002248016263,-6.16950733118956
"78",5.27828271383556,-6.16637660539368
"79",5.43654294750849,-6.16637660539368
"80",5.59480318118141,-6.16637660539368
"81",5.75306341485434,-6.16637660539368
"82",5.91132364852727,-6.16637660539368
"83",6.0695838822002,-6.16637660539368
"84",6.22784411587313,-6.16637660539368
"85",6.38610434954606,-6.16637660539368
"86",6.54436458321899,-6.16637660539368
"87",6.70262481689192,-6.16637660539368
"88",6.86088505056485,-6.16637660539368
"89",7.01914528423778,-6.16637660539368
"90",7.17740551791071,-6.16637660539368
"91",7.33566575158364,-6.16637660539368
"92",7.49392598525657,-6.16637660539368
"93",7.6521862189295,-6.16637660539368
"94",7.81044645260243,-6.16637660539368
"95",7.96870668627535,-6.16637660539368
"96",8.12696691994828,-6.16637660539368
"97",8.28522715362121,-6.16637660539368
"98",8.44348738729414,-6.16637660539368
"99",8.60174762096707,-6.16637660539368
"100",8.76000785464,-6.16637660539368
