"","minlong","y"
"1",-180.000555763,-4.84966357524577
"2",-176.376945326586,-5.02574108132228
"3",-172.753334890172,-5.02408871774236
"4",-169.129724453758,-5.10235534042282
"5",-165.506114017343,-5.10722759998768
"6",-161.882503580929,-5.02076757282605
"7",-158.258893144515,-5.14560787003549
"8",-154.635282708101,-5.17052963599697
"9",-151.011672271687,-5.1895863971207
"10",-147.388061835273,-5.18962011562305
"11",-143.764451398859,-5.18961182710193
"12",-140.140840962444,-5.18963585869235
"13",-136.51723052603,-5.18963585869235
"14",-132.893620089616,-5.18920463928013
"15",-129.270009653202,-5.1887797846577
"16",-125.646399216788,-5.19326595383994
"17",-122.022788780374,-5.25073532213539
"18",-118.39917834396,-5.59362039526665
"19",-114.775567907545,-5.52839944614955
"20",-111.151957471131,-5.730852554064
"21",-107.528347034717,-5.73103431880397
"22",-103.904736598303,-5.73359009933518
"23",-100.281126161889,-5.74360363015402
"24",-96.6575157254747,-5.75903189203943
"25",-93.0339052890606,-5.79693358181942
"26",-89.4102948526465,-5.79734203604824
"27",-85.7866844162323,-5.79739738326274
"28",-82.1630739798182,-5.79762416495668
"29",-78.539463543404,-5.79800859912127
"30",-74.9158531069899,-5.79887516181341
"31",-71.2922426705757,-5.79903994640135
"32",-67.6686322341616,-5.79900237381839
"33",-64.0450217977475,-5.79897926998602
"34",-60.4214113613333,-5.79899742268223
"35",-56.7978009249192,-5.79899742268223
"36",-53.174190488505,-5.79899742268223
"37",-49.5505800520909,-5.79902599780639
"38",-45.9269696156768,-5.79907424747808
"39",-42.3033591792626,-5.79926586697977
"40",-38.6797487428485,-5.79973544163766
"41",-35.0561383064343,-5.79973544163766
"42",-31.4325278700202,-5.79973544163766
"43",-27.808917433606,-5.80176212260349
"44",-24.1853069971919,-5.80177602366173
"45",-20.5616965607778,-5.80175910178456
"46",-16.9380861243636,-5.80149437601362
"47",-13.3144756879495,-5.79350645999148
"48",-9.69086525153534,-5.79880509116518
"49",-6.0672548151212,-5.80081296450637
"50",-2.44364437870706,-5.801433266097
"51",1.17996605770708,-5.80201983888583
"52",4.80357649412122,-5.80230114259072
"53",8.42718693053536,-5.80352003215093
"54",12.0507973669495,-5.80416644236318
"55",15.6744078033636,-5.80440910772398
"56",19.2980182397778,-5.80458197574302
"57",22.9216286761919,-5.80458197574302
"58",26.5452391126061,-5.80470303132791
"59",30.1688495490202,-5.80439803005569
"60",33.7924599854344,-5.80436074947053
"61",37.4160704218485,-5.80436074947053
"62",41.0396808582626,-5.80446446413206
"63",44.6632912946768,-5.80451724699898
"64",48.2869017310909,-5.80451724699898
"65",51.9105121675051,-5.80455492508619
"66",55.5341226039192,-5.8045803101399
"67",59.1577330403333,-5.8045803101399
"68",62.7813434767475,-5.80473369294239
"69",66.4049539131616,-5.80473369294239
"70",70.0285643495758,-5.80484844687709
"71",73.6521747859899,-5.80489184037382
"72",77.275785222404,-5.8050539993331
"73",80.8993956588182,-5.8050539993331
"74",84.5230060952323,-5.8050539993331
"75",88.1466165316465,-5.8050539993331
"76",91.7702269680606,-5.8050539993331
"77",95.3938374044747,-5.8050539993331
"78",99.0174478408889,-5.8050539993331
"79",102.641058277303,-5.8050539993331
"80",106.264668713717,-5.8050539993331
"81",109.888279150131,-5.8050539993331
"82",113.511889586545,-5.8050539993331
"83",117.13550002296,-5.8050539993331
"84",120.759110459374,-5.8050539993331
"85",124.382720895788,-5.8050539993331
"86",128.006331332202,-5.8050539993331
"87",131.629941768616,-5.8050539993331
"88",135.25355220503,-5.8050539993331
"89",138.877162641444,-5.8050539993331
"90",142.500773077859,-5.8050539993331
"91",146.124383514273,-5.8050539993331
"92",149.747993950687,-5.8050539993331
"93",153.371604387101,-5.8050539993331
"94",156.995214823515,-5.8050539993331
"95",160.618825259929,-5.8050539993331
"96",164.242435696343,-5.8050539993331
"97",167.866046132758,-5.8050539993331
"98",171.489656569172,-5.8050539993331
"99",175.113267005586,-5.8050539993331
"100",178.736877442,-5.8050539993331
