"","SLP_DS","y"
"1","> 45",-5.40262322021172
"2","0 to 0.5",-5.39458855362985
"3","0.5 to 2",-5.39481428182622
"4","16 to 30",-5.41112027409901
"5","2 to 5",-5.41090999366162
"6","30 to 45",-5.40601063158873
"7","5 to 8",-5.40926476255626
"8","8 to 16",-5.3964038520872
"9","no data",-5.40746832502904
"10","Water",-5.39738808114335
