"","MaxDiet","y"
"1","",-6.28798275508016
"2","Fish",-6.04386878521797
"3","fruit",-6.33026437080859
"4","Inv",-6.41451175616749
"5","Nect",-6.38161667491516
"6","PlatO",-6.40917982990266
"7","Seed",-6.41412978085605
"8","Vect",-6.297205229112
"9","vend",-6.1109047651298
"10","Vunk",-6.17154807682927
