"","Variable","influence"
"187","COTINGIDAE",0
"188","PLOCEIDAE",0
"189","RALLIDAE",0
"190","PETROICIDAE",0
"191","ESTRILDIDAE",0
"192","HIRUNDINIDAE",0
"193","PYCNONOTIDAE",0
"194","PACHYCEPHALIDAE",0
"195","ALAUDIDAE",0
"196","PTILONORHYNCHIDAE",0
"197","PSITTACIDAE",0
"198","NECTARINIIDAE",0
"199","ALCIDAE",0
"200","APODIDAE",0
"201","MEGAPODIIDAE",0
"202","AEGOTHELIDAE",0
"203","AEGITHINIDAE",0
"204","AEGITHALIDAE",0
"205","JACANIDAE",0
"206","TIMALIIDAE",0
"207","ALCEDINIDAE",0
"208","NUMIDIDAE",0
"209","RHINOCRYPTIDAE",0
"210","STURNIDAE",0
"211","BUCEROTIDAE",0
"212","ACANTHIZIDAE",0
"213","ACANTHISITTIDAE",0
"214","MELIPHAGIDAE",0
"215","CRACIDAE",0
"216","TROCHILIDAE",0
"217","THYROPTERIDAE",0
"218","THRYONOMYIDAE",0
"219","TAPIRIDAE",0
"220","CEBIDAE",0
"221","RHINOPOMATIDAE",0
"222","RHINOLOPHIDAE",0
"223","PRIONODONTIDAE",0
"224","HOMINIDAE",0
"225","PLATACANTHOMYIDAE",0
"226","PETROMURIDAE",0
"227","PEDETIDAE",0
"228","OCHOTONIDAE",0
"229","NYCTERIDAE",0
"230","NOCTILIONIDAE",0
"231","NANDINIIDAE",0
"232","MYZOPODIDAE",0
"233","MYSTACINIDAE",0
"234","MYRMECOPHAGIDAE",0
"235","MYOCASTORIDAE",0
"236","MOSCHIDAE",0
"237","MORMOOPIDAE",0
"238","DIATOMYIDAE",0
"239","TRAGULIDAE",0
"240","GIRAFFIDAE",0
"241","EQUIDAE",0
"242","DINOMYIDAE",0
"243","DASYPROCTIDAE",0
"244","CYCLOPEDIDAE",0
"245","CUNICULIDAE",0
"246","CTENOMYIDAE",0
"247","CTENODACTYLIDAE",0
"248","EUPLERIDAE",0
"249","HYAENIDAE",0
"250","GEOMYIDAE",0
"251","CRASEONYCTERIDAE",0
"252","MEPHITIDAE",0
"253","MEGALONYCHIDAE",0
"254","HIPPOPOTAMIDAE",0
"255","CERCOPITHECIDAE",0
"256","CHINCHILLIDAE",0
"257","NATALIDAE",0
"258","ERETHIZONTIDAE",0
"259","HETEROMYIDAE",0
"260","GLIRIDAE",0
"261","RHINOCEROTIDAE",0
"262","CAVIIDAE",0
"263","TAYASSUIDAE",0
"264","CASTORIDAE",0
"265","MEGADERMATIDAE",0
"266","CAPROMYIDAE",0
"267","SPALACIDAE",0
"268","CAMELIDAE",0
"269","DIDELPHIDAE",0
"270","CALOMYSCIDAE",0
"271","CALLITRICHIDAE",0
"272","ECHIMYIDAE",0
"273","BRADYPODIDAE",0
"274","LEPORIDAE",0
"275","NESOMYIDAE",0
"276","BATHYERGIDAE",0
"277","PROCYONIDAE",0
"278","EMBALLONURIDAE",0
"279","SUIDAE",0
"280","MOLOSSIDAE",0
"281","HERPESTIDAE",0
"282","HYSTRICIDAE",0
"283","CANIDAE",0
"284","VIVERRIDAE",0
"285","APLODONTIIDAE",0
"286","MUSTELIDAE",0
"287","VESPERTILIONIDAE",0
"288","ANTILOCAPRIDAE",0
"289","HIPPOSIDERIDAE",0
"290","ANOMALURIDAE",0
"291","FURIPTERIDAE",0
"292","PHYLLOSTOMIDAE",0
"293","ATELIDAE",0
"294","DIPODIDAE",0
"295","CERVIDAE",0
"296","AILURIDAE",0
"297","URSIDAE",0
"298","SCIURIDAE",0
"299","OCTODONTIDAE",0
"300","FELIDAE",0
"301","PTEROPODIDAE",0
"302","ABROCOMIDAE",0
"303","CRICETIDAE",0
