"","Variable","influence"
"176","MACROPODIDAE",0
"177","PROCAVIIDAE",0
"178","DAUBENTONIIDAE",0
"179","DASYPROCTIDAE",0
"180","DASYORNITHIDAE",0
"181","NEOSITTIDAE",0
"182","PETAURIDAE",0
"183","CYNOCEPHALIDAE",0
"184","CYCLOPEDIDAE",0
"185","GLAREOLIDAE",0
"186","CUNICULIDAE",0
"187","CTENOMYIDAE",0
"188","CTENODACTYLIDAE",0
"189","TINAMIDAE",0
"190","EUPLERIDAE",0
"191","HYAENIDAE",0
"192","GEOMYIDAE",0
"193","CRASEONYCTERIDAE",0
"194","CRACTICIDAE",0
"195","MUSOPHAGIDAE",0
"196","CORCORACIDAE",0
"197","CORACIIDAE",0
"198","TALPIDAE",0
"199","COLLURICINCLIDAE",0
"200","COLIIDAE",0
"201","CNEMOPHILIDAE",0
"202","CLIMACTERIDAE",0
"203","RECURVIROSTRIDAE",0
"204","CINCLIDAE",0
"205","CINCLOSOMATIDAE",0
"206","HIPPOPOTAMIDAE",0
"207","CHLOROPSEIDAE",0
"208","CHIONIDAE",0
"209","CHINCHILLIDAE",0
"210","FORMICARIIDAE",0
"211","DICRURIDAE",0
"212","MOHOIDAE",0
"213","ERETHIZONTIDAE",0
"214","HETEROMYIDAE",0
"215","GLIRIDAE",0
"216","CERTHIIDAE",0
"217","RHINOCEROTIDAE",0
"218","CAVIIDAE",0
"219","STERCORARIIDAE",0
"220","TAYASSUIDAE",0
"221","CASUARIIDAE",0
"222","CASTORIDAE",0
"223","CARIAMIDAE",0
"224","MEGADERMATIDAE",0
"225","CAPROMYIDAE",0
"226","CAPITONIDAE",0
"227","SPALACIDAE",0
"228","CAMPEPHAGIDAE",0
"229","EURYLAIMIDAE",0
"230","MEGALAIMIDAE",0
"231","CALOMYSCIDAE",0
"232","CALLAEATIDAE",0
"233","CAENOLESTIDAE",0
"234","CACATUIDAE",0
"235","PITHECIIDAE",0
"236","DASYPODIDAE",0
"237","BURRAMYIDAE",0
"238","BURHINIDAE",0
"239","BUCCONIDAE",0
"240","LYBIIDAE",0
"241","GALBULIDAE",0
"242","THRESKIORNITHIDAE",0
"243","BOMBYCILLIDAE",0
"244","NESOMYIDAE",0
"245","PODARGIDAE",0
"246","PLATYSTEIRIDAE",0
"247","BATHYERGIDAE",0
"248","PROCYONIDAE",0
"249","BALAENICIPITIDAE",0
"250","INDRIIDAE",0
"251","THINOCORIDAE",0
"252","ATRICHORNITHIDAE",0
"253","HERPESTIDAE",0
"254","HYSTRICIDAE",0
"255","BRACHYPTERACIIDAE",0
"256","ERINACEIDAE",0
"257","PARADISAEIDAE",0
"258","MOMOTIDAE",0
"259","ARTAMIDAE",0
"260","VANGIDAE",0
"261","MONARCHIDAE",0
"262","LORISIDAE",0
"263","VIVERRIDAE",0
"264","ARAMIDAE",0
"265","APTERYGIDAE",0
"266","SPHENISCIDAE",0
"267","APLODONTIIDAE",0
"268","PROCELLARIIDAE",0
"269","ZOSTEROPIDAE",0
"270","CISTICOLIDAE",0
"271","TROGONIDAE",0
"272","PIPRIDAE",0
"273","ANTILOCAPRIDAE",0
"274","GRUIDAE",0
"275","REMIZIDAE",0
"276","DASYURIDAE",0
"277","ANSERANATIDAE",0
"278","ANOMALURIDAE",0
"279","VIDUIDAE",0
"280","ANHINGIDAE",0
"281","ANHIMIDAE",0
"282","EUPETIDAE",0
"283","RAMPHASTIDAE",0
"284","TUPAIIDAE",0
"285","MALURIDAE",0
"286","COTINGIDAE",0
"287","FURIPTERIDAE",0
"288","CHRYSOCHLORIDAE",0
"289","PLOCEIDAE",0
"290","PETROICIDAE",0
"291","CHEIROGALEIDAE",0
"292","DIPODIDAE",0
"293","ALAUDIDAE",0
"294","AILURIDAE",0
"295","PHALANGERIDAE",0
"296","PTILONORHYNCHIDAE",0
"297","PSITTACIDAE",0
"298","OTIDIDAE",0
"299","NECTARINIIDAE",0
"300","ALCIDAE",0
"301","APODIDAE",0
"302","POTOROIDAE",0
"303","MEGAPODIIDAE",0
"304","AEGOTHELIDAE",0
"305","AEGITHINIDAE",0
"306","AEGITHALIDAE",0
"307","PODICIPEDIDAE",0
"308","JACANIDAE",0
"309","ALCEDINIDAE",0
"310","NUMIDIDAE",0
"311","RHINOCRYPTIDAE",0
"312","ACROBATIDAE",0
"313","OCTODONTIDAE",0
"314","FELIDAE",0
"315","ACANTHIZIDAE",0
"316","ACANTHISITTIDAE",0
"317","MELIPHAGIDAE",0
"318","CRACIDAE",0
"319","ABROCOMIDAE",0
"320","TROCHILIDAE",0
"321","SCIURIDAE",0
"322","HOMINIDAE",0
"323","AOTIDAE",0
"324","MEGALONYCHIDAE",0
"325","BRADYPODIDAE",0
"326","LEPORIDAE",0
"327","SORICIDAE",0
"328","NATALIDAE",0
"329","HIPPOSIDERIDAE",0
"330","EMBALLONURIDAE",0
"331","SUIDAE",0
"332","EQUIDAE",0
"333","CAMELIDAE",0
"334","URSIDAE",0
"335","MEPHITIDAE",0
"336","CANIDAE",0
"337","PHALACROCORACIDAE",0
"338","STRUTHIONIDAE",0
"339","TYTONIDAE",0
"340","STRIGOPIDAE",0
"341","PICIDAE",0
"342","PHOENICOPTERIDAE",0
"343","PELECANIDAE",0
"344","VIREONIDAE",0
"345","TROGLODYTIDAE",0
"346","TIMALIIDAE",0
"347","THRAUPIDAE",0
"348","STURNIDAE",0
"349","SITTIDAE",0
"350","PYCNONOTIDAE",0
"351","PRUNELLIDAE",0
"352","PASSERIDAE",0
"353","PACHYCEPHALIDAE",0
"354","ORIOLIDAE",0
"355","MOTACILLIDAE",0
"356","ESTRILDIDAE",0
"357","DENDROCOLAPTIDAE",0
"358","CONOPOPHAGIDAE",0
"359","COEREBIDAE",0
"360","CARDINALIDAE",0
"361","RALLIDAE",0
"362","CUCULIDAE",0
"363","MEROPIDAE",0
"364","CICONIIDAE",0
"365","CHARADRIIDAE",0
"366","CATHARTIDAE",0
"367","CAPRIMULGIDAE",0
"368","BUCEROTIDAE",0
