"","HuPop_mean_log","y"
"1",-6.90775527898,-4.93252856319991
"2",-6.74586446316434,-4.93252856319991
"3",-6.58397364734869,-4.93252856319991
"4",-6.42208283153303,-4.93252856319991
"5",-6.26019201571737,-4.93252856319991
"6",-6.09830119990172,-4.93252856319991
"7",-5.93641038408606,-4.93252856319991
"8",-5.7745195682704,-4.93252856319991
"9",-5.61262875245475,-4.93252856319991
"10",-5.45073793663909,-4.93252856319991
"11",-5.28884712082343,-4.93252856319991
"12",-5.12695630500778,-4.93252856319991
"13",-4.96506548919212,-4.93252856319991
"14",-4.80317467337646,-4.93252856319991
"15",-4.64128385756081,-4.93252856319991
"16",-4.47939304174515,-4.93252856319991
"17",-4.31750222592949,-4.93252856319991
"18",-4.15561141011384,-4.93252856319991
"19",-3.99372059429818,-4.93252856319991
"20",-3.83182977848253,-4.93252856319991
"21",-3.66993896266687,-4.93252856319991
"22",-3.50804814685121,-4.93252856319991
"23",-3.34615733103556,-4.93252856319991
"24",-3.1842665152199,-4.93252856319991
"25",-3.02237569940424,-4.93252856319991
"26",-2.86048488358859,-4.93252856319991
"27",-2.69859406777293,-4.93252856319991
"28",-2.53670325195727,-4.93252856319991
"29",-2.37481243614162,-4.93252856319991
"30",-2.21292162032596,-4.93252856319991
"31",-2.0510308045103,-4.93252856319991
"32",-1.88913998869465,-4.93252856319991
"33",-1.72724917287899,-4.93252856319991
"34",-1.56535835706333,-4.93252856319991
"35",-1.40346754124768,-4.93252856319991
"36",-1.24157672543202,-4.93252856319991
"37",-1.07968590961636,-4.93252856319991
"38",-0.917795093800707,-4.93252856319991
"39",-0.75590427798505,-4.93252856319991
"40",-0.594013462169394,-4.93252856319991
"41",-0.432122646353737,-4.93252856319991
"42",-0.270231830538081,-4.93252856319991
"43",-0.108341014722424,-4.93252856319991
"44",0.053549801093232,-4.93252856319991
"45",0.215440616908889,-4.93252856319991
"46",0.377331432724546,-4.93252856319991
"47",0.539222248540202,-4.93252856319991
"48",0.701113064355859,-4.93262448081638
"49",0.863003880171515,-4.93262448081638
"50",1.02489469598717,-4.93262448081638
"51",1.18678551180283,-4.93262448081638
"52",1.34867632761848,-4.93309739490059
"53",1.51056714343414,-4.93319839151086
"54",1.6724579592498,-4.93342729361118
"55",1.83434877506545,-4.93349580486385
"56",1.99623959088111,-4.93349580486385
"57",2.15813040669677,-4.93349580486385
"58",2.32002122251243,-4.93336402054226
"59",2.48191203832808,-4.93292483889323
"60",2.64380285414374,-4.93358776763963
"61",2.80569366995939,-4.93381070569131
"62",2.96758448577505,-4.9332644399906
"63",3.12947530159071,-4.93027317942284
"64",3.29136611740636,-4.92646271447142
"65",3.45325693322202,-4.92301151693921
"66",3.61514774903768,-4.9217986445372
"67",3.77703856485333,-4.91887425537045
"68",3.93892938066899,-4.91822484811197
"69",4.10082019648465,-4.92076841426279
"70",4.2627110123003,-4.92105961000581
"71",4.42460182811596,-4.92048723516301
"72",4.58649264393162,-4.92044195320609
"73",4.74838345974727,-4.91987820835009
"74",4.91027427556293,-4.91925438504157
"75",5.07216509137859,-4.91748752103533
"76",5.23405590719424,-4.9173308715808
"77",5.3959467230099,-4.915792689676
"78",5.55783753882556,-4.90386869264848
"79",5.71972835464121,-4.89344089294286
"80",5.88161917045687,-4.85990671107989
"81",6.04350998627253,-4.85990671107989
"82",6.20540080208818,-4.83618035766631
"83",6.36729161790384,-4.83618035766631
"84",6.52918243371949,-4.83618035766631
"85",6.69107324953515,-4.83618035766631
"86",6.85296406535081,-4.83618035766631
"87",7.01485488116646,-4.83618035766631
"88",7.17674569698212,-4.83618035766631
"89",7.33863651279778,-4.83618035766631
"90",7.50052732861344,-4.83618035766631
"91",7.66241814442909,-4.83618035766631
"92",7.82430896024475,-4.83618035766631
"93",7.9861997760604,-4.83618035766631
"94",8.14809059187606,-4.83618035766631
"95",8.30998140769172,-4.83618035766631
"96",8.47187222350737,-4.83618035766631
"97",8.63376303932303,-4.83618035766631
"98",8.79565385513869,-4.83618035766631
"99",8.95754467095434,-4.83618035766631
"100",9.11943548677,-4.83618035766631
