"","BodyMass_ln","y"
"1",-6.90775527898,-4.69582566939464
"2",-6.68457896321252,-4.69582566939464
"3",-6.46140264744505,-4.69582566939464
"4",-6.23822633167758,-4.69582566939464
"5",-6.0150500159101,-4.69582566939464
"6",-5.79187370014263,-4.69582566939464
"7",-5.56869738437515,-4.69582566939464
"8",-5.34552106860768,-4.69582566939464
"9",-5.1223447528402,-4.69582566939464
"10",-4.89916843707273,-4.69582566939464
"11",-4.67599212130525,-4.69582566939464
"12",-4.45281580553778,-4.69582566939464
"13",-4.2296394897703,-4.69582566939464
"14",-4.00646317400283,-4.69582566939464
"15",-3.78328685823535,-4.69582566939464
"16",-3.56011054246788,-4.69582566939464
"17",-3.3369342267004,-4.69582566939464
"18",-3.11375791093293,-4.70419078888772
"19",-2.89058159516545,-4.70815911444533
"20",-2.66740527939798,-4.70815911444533
"21",-2.44422896363051,-4.70815911444533
"22",-2.22105264786303,-4.70815911444533
"23",-1.99787633209556,-4.70815911444533
"24",-1.77470001632808,-4.70815911444533
"25",-1.55152370056061,-4.70815911444533
"26",-1.32834738479313,-4.70815911444533
"27",-1.10517106902566,-4.70815911444533
"28",-0.881994753258182,-4.70815911444533
"29",-0.658818437490707,-4.70815911444533
"30",-0.435642121723233,-4.70815911444533
"31",-0.212465805955758,-4.70815911444533
"32",0.0107105098117168,-4.70815911444533
"33",0.233886825579192,-4.70815911444533
"34",0.457063141346667,-4.70815911444533
"35",0.680239457114141,-4.70815911444533
"36",0.903415772881616,-4.70815911444533
"37",1.12659208864909,-4.70815911444533
"38",1.34976840441657,-4.70832554592598
"39",1.57294472018404,-4.70991959152234
"40",1.79612103595151,-4.70991959152234
"41",2.01929735171899,-4.70991959152234
"42",2.24247366748646,-4.69989182826557
"43",2.46564998325394,-4.6835388527474
"44",2.68882629902141,-4.68180582198242
"45",2.91200261478889,-4.68320621031113
"46",3.13517893055636,-4.68431194967503
"47",3.35835524632384,-4.69540072936123
"48",3.58153156209131,-4.69729774355965
"49",3.80470787785879,-4.69742848781819
"50",4.02788419362626,-4.6963798389165
"51",4.25106050939374,-4.69764412598275
"52",4.47423682516121,-4.69700575672117
"53",4.69741314092869,-4.70002458245437
"54",4.92058945669616,-4.69997173395269
"55",5.14376577246364,-4.69973727510212
"56",5.36694208823111,-4.70077141710424
"57",5.59011840399859,-4.70154804157732
"58",5.81329471976606,-4.70229336084276
"59",6.03647103553353,-4.70228811491747
"60",6.25964735130101,-4.70226627832887
"61",6.48282366706848,-4.7034422591343
"62",6.70599998283596,-4.70312821318593
"63",6.92917629860343,-4.70318044073342
"64",7.15235261437091,-4.70160762409553
"65",7.37552893013838,-4.69955021835649
"66",7.59870524590586,-4.69887047552772
"67",7.82188156167333,-4.69033520849414
"68",8.04505787744081,-4.62875081149458
"69",8.26823419320828,-4.51193659768868
"70",8.49141050897576,-4.48621240661133
"71",8.71458682474323,-4.45411702559797
"72",8.93776314051071,-4.46911306742435
"73",9.16093945627818,-4.47771438174653
"74",9.38411577204566,-4.51262787150035
"75",9.60729208781313,-4.52476733732005
"76",9.83046840358061,-4.52472978657394
"77",10.0536447193481,-4.52437616091284
"78",10.2768210351156,-4.52394037619418
"79",10.499997350883,-4.34902089033167
"80",10.7231736666505,-4.26662047508655
"81",10.946349982418,-4.29349655565647
"82",11.1695262981855,-4.29854805409616
"83",11.3927026139529,-4.33878302753039
"84",11.6158789297204,-4.35822800554777
"85",11.8390552454879,-4.35991610587872
"86",12.0622315612554,-4.35991610587872
"87",12.2854078770228,-4.36506388427704
"88",12.5085841927903,-4.36506388427704
"89",12.7317605085578,-4.36506388427704
"90",12.9549368243253,-4.36506388427704
"91",13.1781131400927,-4.36506388427704
"92",13.4012894558602,-4.36506388427704
"93",13.6244657716277,-4.36506388427704
"94",13.8476420873951,-4.36506388427704
"95",14.0708184031626,-4.36506388427704
"96",14.2939947189301,-4.36506388427704
"97",14.5171710346976,-4.36506388427704
"98",14.740347350465,-4.36506388427704
"99",14.9635236662325,-4.36506388427704
"100",15.186699982,-4.36506388427704
