"","centroidY","y"
"1",-54.3736510264,-5.07493943076799
"2",-53.0833535475828,-5.07493943076799
"3",-51.7930560687657,-5.07493943076799
"4",-50.5027585899485,-5.07493943076799
"5",-49.2124611111313,-5.07493943076799
"6",-47.9221636323141,-5.07493943076799
"7",-46.631866153497,-5.07493943076799
"8",-45.3415686746798,-5.07493943076799
"9",-44.0512711958626,-5.07493943076799
"10",-42.7609737170455,-5.07493943076799
"11",-41.4706762382283,-5.07493943076799
"12",-40.1803787594111,-5.07493943076799
"13",-38.8900812805939,-5.07493943076799
"14",-37.5997838017768,-5.07493943076799
"15",-36.3094863229596,-5.07489455958731
"16",-35.0191888441424,-5.07489455958731
"17",-33.7288913653253,-5.07486909695455
"18",-32.4385938865081,-5.07486909695455
"19",-31.1482964076909,-5.07473274103753
"20",-29.8579989288737,-5.07473274103753
"21",-28.5677014500566,-5.07473274103753
"22",-27.2774039712394,-5.07473274103753
"23",-25.9871064924222,-5.07473274103753
"24",-24.696809013605,-5.07473440798631
"25",-23.4065115347879,-5.07198327925851
"26",-22.1162140559707,-5.07119325913951
"27",-20.8259165771535,-5.07101756880427
"28",-19.5356190983364,-5.07151971165109
"29",-18.2453216195192,-5.07265314102502
"30",-16.955024140702,-5.07589302881344
"31",-15.6647266618848,-5.07601482171445
"32",-14.3744291830677,-5.07601482171445
"33",-13.0841317042505,-5.07601482171445
"34",-11.7938342254333,-5.07601482171445
"35",-10.5035367466162,-5.07613830657987
"36",-9.21323926779899,-5.07608872144829
"37",-7.92294178898182,-5.07608872144829
"38",-6.63264431016464,-5.07586747657349
"39",-5.34234683134747,-5.07574690512196
"40",-4.0520493525303,-5.07568964809964
"41",-2.76175187371313,-5.07568964809964
"42",-1.47145439489596,-5.07568964809964
"43",-0.181156916078784,-5.07526608111078
"44",1.10914056273839,-5.07522892701688
"45",2.39943804155556,-5.07464360465223
"46",3.68973552037273,-5.07367525250517
"47",4.9800329991899,-5.0734011333143
"48",6.27033047800708,-5.0734011333143
"49",7.56062795682425,-5.07311749289385
"50",8.85092543564141,-5.07298007072715
"51",10.1412229144586,-5.07288642546406
"52",11.4315203932758,-5.07277139810031
"53",12.7218178720929,-5.07162518710809
"54",14.0121153509101,-5.07155992075702
"55",15.3024128297273,-5.07146295901314
"56",16.5927103085444,-5.06323485909091
"57",17.8830077873616,-5.03029130370829
"58",19.1733052661788,-5.05563741062193
"59",20.463602744996,-5.05447546417633
"60",21.7539002238131,-5.05760082342731
"61",23.0441977026303,-5.05866758394788
"62",24.3344951814475,-5.05803536433894
"63",25.6247926602646,-5.0575858050656
"64",26.9150901390818,-5.05718727872017
"65",28.205387617899,-5.05699916955136
"66",29.4956850967162,-5.03216749499228
"67",30.7859825755333,-4.96642977687684
"68",32.0762800543505,-5.01130833655683
"69",33.3665775331677,-4.92531788812157
"70",34.6568750119849,-4.80795642379555
"71",35.947172490802,-4.88579450948566
"72",37.2374699696192,-4.88151877632818
"73",38.5277674484364,-4.89187705021719
"74",39.8180649272535,-4.90910187652749
"75",41.1083624060707,-4.91762196297866
"76",42.3986598848879,-4.93508594420648
"77",43.6889573637051,-4.94093983811949
"78",44.9792548425222,-4.94293285356999
"79",46.2695523213394,-4.96678458601608
"80",47.5598498001566,-4.98669578882547
"81",48.8501472789737,-4.98872676490439
"82",50.1404447577909,-4.92678586059883
"83",51.4307422366081,-4.95398269249714
"84",52.7210397154252,-4.94854842732706
"85",54.0113371942424,-4.96390758805221
"86",55.3016346730596,-4.94595691812408
"87",56.5919321518768,-4.93723365387685
"88",57.8822296306939,-4.94409882488879
"89",59.1725271095111,-4.94409882488879
"90",60.4628245883283,-4.94409882488879
"91",61.7531220671455,-4.94409882488879
"92",63.0434195459626,-4.94409882488879
"93",64.3337170247798,-4.94409882488879
"94",65.624014503597,-4.94409882488879
"95",66.9143119824141,-4.94409882488879
"96",68.2046094612313,-4.94409882488879
"97",69.4949069400485,-4.94409882488879
"98",70.7852044188657,-4.94409882488879
"99",72.0755018976828,-4.94409882488879
"100",73.3657993765,-4.94409882488879
