"","Bio1_mean","y"
"1",-15.611631587,-4.85928856267383
"2",-15.1625365946202,-4.85928856267383
"3",-14.7134416022404,-4.85928856267383
"4",-14.2643466098606,-4.85928856267383
"5",-13.8152516174808,-4.85928856267383
"6",-13.366156625101,-4.85928856267383
"7",-12.9170616327212,-4.85928856267383
"8",-12.4679666403414,-4.85928856267383
"9",-12.0188716479616,-4.85928856267383
"10",-11.5697766555818,-4.86364726473786
"11",-11.120681663202,-4.87097144766313
"12",-10.6715866708222,-4.87780067661002
"13",-10.2224916784424,-4.89117351858437
"14",-9.77339668606263,-4.90000155491298
"15",-9.32430169368283,-4.90000155491298
"16",-8.87520670130303,-4.91273327219993
"17",-8.42611170892323,-4.91513802656235
"18",-7.97701671654343,-4.91545168968383
"19",-7.52792172416363,-4.91545168968383
"20",-7.07882673178384,-4.91545168968383
"21",-6.62973173940404,-4.91545168968383
"22",-6.18063674702424,-4.91545168968383
"23",-5.73154175464444,-4.91545168968383
"24",-5.28244676226465,-4.91545168968383
"25",-4.83335176988485,-4.91545168968383
"26",-4.38425677750505,-4.91545168968383
"27",-3.93516178512525,-4.91545168968383
"28",-3.48606679274545,-4.91545168968383
"29",-3.03697180036566,-4.91545168968383
"30",-2.58787680798586,-4.91543628724971
"31",-2.13878181560606,-4.91542100595533
"32",-1.68968682322626,-4.91540976481957
"33",-1.24059183084646,-4.91537452782834
"34",-0.791496838466665,-4.91713778715788
"35",-0.342401846086867,-4.91743531991433
"36",0.10669314629293,-4.9195835097005
"37",0.55578813867273,-4.92136384449457
"38",1.00488313105252,-4.92281065970055
"39",1.45397812343232,-4.92433548754942
"40",1.90307311581212,-4.92586423289488
"41",2.35216810819192,-4.92801786511153
"42",2.80126310057172,-4.92828204935197
"43",3.25035809295152,-4.92872063747182
"44",3.69945308533132,-4.92873689652086
"45",4.14854807771111,-4.92882696125698
"46",4.59764307009091,-4.92887504964411
"47",5.04673806247071,-4.92885521668288
"48",5.49583305485051,-4.92885521668288
"49",5.9449280472303,-4.92885521668288
"50",6.3940230396101,-4.92884245227287
"51",6.8431180319899,-4.92884245227287
"52",7.2922130243697,-4.92756648874927
"53",7.7413080167495,-4.92510540490187
"54",8.19040300912929,-4.9229922285553
"55",8.63949800150909,-4.92275715919602
"56",9.08859299388889,-4.92269564533988
"57",9.53768798626869,-4.92222912306934
"58",9.98678297864849,-4.92222912306934
"59",10.4358779710283,-4.91987256883278
"60",10.8849729634081,-4.91965154982873
"61",11.3340679557879,-4.91919685688078
"62",11.7831629481677,-4.91900979223636
"63",12.2322579405475,-4.91900979223636
"64",12.6813529329273,-4.91899018950623
"65",13.1304479253071,-4.91892893902852
"66",13.5795429176869,-4.91836367456013
"67",14.0286379100667,-4.91840979029041
"68",14.4777329024465,-4.91847248980811
"69",14.9268278948263,-4.91962896913573
"70",15.3759228872061,-4.92052685806379
"71",15.8250178795859,-4.92083687565352
"72",16.2741128719657,-4.92083222687565
"73",16.7232078643455,-4.92073327589727
"74",17.1723028567253,-4.92010345863326
"75",17.6213978491051,-4.92030049492317
"76",18.0704928414848,-4.92032384520405
"77",18.5195878338646,-4.92031087351153
"78",18.9686828262444,-4.91963669255219
"79",19.4177778186242,-4.91968545759033
"80",19.866872811004,-4.91969483216026
"81",20.3159678033838,-4.91971615728663
"82",20.7650627957636,-4.9189333278974
"83",21.2141577881434,-4.91848182504045
"84",21.6632527805232,-4.91807636273234
"85",22.112347772903,-4.91770365544388
"86",22.5614427652828,-4.91758327347832
"87",23.0105377576626,-4.91779093404562
"88",23.4596327500424,-4.91770267793709
"89",23.9087277424222,-4.91788645906279
"90",24.357822734802,-4.91874395465783
"91",24.8069177271818,-4.91596828583121
"92",25.2560127195616,-4.92196384557136
"93",25.7051077119414,-4.92206684314146
"94",26.1542027043212,-4.92172905974037
"95",26.603297696701,-4.92172905974037
"96",27.0523926890808,-4.92172905974037
"97",27.5014876814606,-4.92172905974037
"98",27.9505826738404,-4.92172905974037
"99",28.3996776662202,-4.92172905974037
"100",28.8487726586,-4.92172905974037
