"","IUCN.Status","y"
"1","",-6.85305217155285
"2","CR",-6.85657363842444
"3","CR (PE)",-6.85178382819357
"4","DD",-6.85549147550585
"5","EN",-6.85380967794534
"6","EW",-6.85385431907775
"7","EX",-6.85249117299953
"8","LC",-6.85699330462023
"9","NT",-6.85701263370537
"10","RE",-6.851817638389
"11","VU",-6.85243835808037
