"","STEATORNITHIDAE","y"
"1",0,-5.7545021603223
"2",0,-5.7545021603223
"3",0,-5.7545021603223
"4",0,-5.7545021603223
"5",0,-5.7545021603223
"6",0,-5.7545021603223
"7",0,-5.7545021603223
"8",0,-5.7545021603223
"9",0,-5.7545021603223
"10",0,-5.7545021603223
"11",0,-5.7545021603223
"12",0,-5.7545021603223
"13",0,-5.7545021603223
"14",0,-5.7545021603223
"15",0,-5.7545021603223
"16",0,-5.7545021603223
"17",0,-5.7545021603223
"18",0,-5.7545021603223
"19",0,-5.7545021603223
"20",0,-5.7545021603223
"21",0,-5.7545021603223
"22",0,-5.7545021603223
"23",0,-5.7545021603223
"24",0,-5.7545021603223
"25",0,-5.7545021603223
"26",0,-5.7545021603223
"27",0,-5.7545021603223
"28",0,-5.7545021603223
"29",0,-5.7545021603223
"30",0,-5.7545021603223
"31",0,-5.7545021603223
"32",0,-5.7545021603223
"33",0,-5.7545021603223
"34",0,-5.7545021603223
"35",0,-5.7545021603223
"36",0,-5.7545021603223
"37",0,-5.7545021603223
"38",0,-5.7545021603223
"39",0,-5.7545021603223
"40",0,-5.7545021603223
"41",0,-5.7545021603223
"42",0,-5.7545021603223
"43",0,-5.7545021603223
"44",0,-5.7545021603223
"45",0,-5.7545021603223
"46",0,-5.7545021603223
"47",0,-5.7545021603223
"48",0,-5.7545021603223
"49",0,-5.7545021603223
"50",0,-5.7545021603223
"51",0,-5.7545021603223
"52",0,-5.7545021603223
"53",0,-5.7545021603223
"54",0,-5.7545021603223
"55",0,-5.7545021603223
"56",0,-5.7545021603223
"57",0,-5.7545021603223
"58",0,-5.7545021603223
"59",0,-5.7545021603223
"60",0,-5.7545021603223
"61",0,-5.7545021603223
"62",0,-5.7545021603223
"63",0,-5.7545021603223
"64",0,-5.7545021603223
"65",0,-5.7545021603223
"66",0,-5.7545021603223
"67",0,-5.7545021603223
"68",0,-5.7545021603223
"69",0,-5.7545021603223
"70",0,-5.7545021603223
"71",0,-5.7545021603223
"72",0,-5.7545021603223
"73",0,-5.7545021603223
"74",0,-5.7545021603223
"75",0,-5.7545021603223
"76",0,-5.7545021603223
"77",0,-5.7545021603223
"78",0,-5.7545021603223
"79",0,-5.7545021603223
"80",0,-5.7545021603223
"81",0,-5.7545021603223
"82",0,-5.7545021603223
"83",0,-5.7545021603223
"84",0,-5.7545021603223
"85",0,-5.7545021603223
"86",0,-5.7545021603223
"87",0,-5.7545021603223
"88",0,-5.7545021603223
"89",0,-5.7545021603223
"90",0,-5.7545021603223
"91",0,-5.7545021603223
"92",0,-5.7545021603223
"93",0,-5.7545021603223
"94",0,-5.7545021603223
"95",0,-5.7545021603223
"96",0,-5.7545021603223
"97",0,-5.7545021603223
"98",0,-5.7545021603223
"99",0,-5.7545021603223
"100",0,-5.7545021603223
