"","minlong","y"
"1",-180.000555763,-4.11501835251384
"2",-176.376945326586,-4.11375697119441
"3",-172.753334890172,-4.1128075445765
"4",-169.129724453758,-4.13375420185899
"5",-165.506114017343,-4.13494616925674
"6",-161.882503580929,-4.11484119778956
"7",-158.258893144515,-4.1151843616529
"8",-154.635282708101,-4.113853826108
"9",-151.011672271687,-4.11425498412316
"10",-147.388061835273,-4.11407267578583
"11",-143.764451398859,-4.11408332339866
"12",-140.140840962444,-4.11414137438998
"13",-136.51723052603,-4.11414137438998
"14",-132.893620089616,-4.11634440835575
"15",-129.270009653202,-4.11000175366768
"16",-125.646399216788,-4.00241704073746
"17",-122.022788780374,-4.0000062442012
"18",-118.39917834396,-4.31791089697594
"19",-114.775567907545,-4.37220549554857
"20",-111.151957471131,-4.77241824549434
"21",-107.528347034717,-4.77346641847324
"22",-103.904736598303,-4.77977522752672
"23",-100.281126161889,-4.78404130993814
"24",-96.6575157254747,-4.835238935905
"25",-93.0339052890606,-4.83560514990815
"26",-89.4102948526465,-4.84000292119007
"27",-85.7866844162323,-4.87632146184146
"28",-82.1630739798182,-4.87830340207994
"29",-78.539463543404,-4.91788475536243
"30",-74.9158531069899,-4.92085280377087
"31",-71.2922426705757,-4.91776983258371
"32",-67.6686322341616,-4.92086522177507
"33",-64.0450217977475,-4.91702135831147
"34",-60.4214113613333,-4.95165275957963
"35",-56.7978009249192,-4.95200881396549
"36",-53.174190488505,-4.95200185194622
"37",-49.5505800520909,-4.95213938427171
"38",-45.9269696156768,-4.95258305902918
"39",-42.3033591792626,-4.95285134391415
"40",-38.6797487428485,-4.95288426239202
"41",-35.0561383064343,-4.95289156341274
"42",-31.4325278700202,-4.95487728719714
"43",-27.808917433606,-4.96395939995087
"44",-24.1853069971919,-4.96689087200154
"45",-20.5616965607778,-4.96736501027955
"46",-16.9380861243636,-4.96938513517394
"47",-13.3144756879495,-4.96701972683672
"48",-9.69086525153534,-4.97982153511092
"49",-6.0672548151212,-4.98153350500837
"50",-2.44364437870706,-5.00716228012869
"51",1.17996605770708,-5.0478208925749
"52",4.80357649412122,-5.04805716788018
"53",8.42718693053536,-5.07880422903908
"54",12.0507973669495,-5.07889888991981
"55",15.6744078033636,-5.07909644882422
"56",19.2980182397778,-5.07909644882422
"57",22.9216286761919,-5.07909644882422
"58",26.5452391126061,-5.07909644882422
"59",30.1688495490202,-5.07909644882422
"60",33.7924599854344,-5.07909644882422
"61",37.4160704218485,-5.07909644882422
"62",41.0396808582626,-5.07920777409734
"63",44.6632912946768,-5.07920777409734
"64",48.2869017310909,-5.07920777409734
"65",51.9105121675051,-5.07920777409734
"66",55.5341226039192,-5.07920777409734
"67",59.1577330403333,-5.07920777409734
"68",62.7813434767475,-5.07920777409734
"69",66.4049539131616,-5.07920777409734
"70",70.0285643495758,-5.07920777409734
"71",73.6521747859899,-5.07920777409734
"72",77.275785222404,-5.07920777409734
"73",80.8993956588182,-5.07920777409734
"74",84.5230060952323,-5.07920777409734
"75",88.1466165316465,-5.07920777409734
"76",91.7702269680606,-5.07920777409734
"77",95.3938374044747,-5.07920777409734
"78",99.0174478408889,-5.07920777409734
"79",102.641058277303,-5.07920777409734
"80",106.264668713717,-5.07920777409734
"81",109.888279150131,-5.07920777409734
"82",113.511889586545,-5.07920777409734
"83",117.13550002296,-5.07920777409734
"84",120.759110459374,-5.07920777409734
"85",124.382720895788,-5.07920777409734
"86",128.006331332202,-5.07920777409734
"87",131.629941768616,-5.07920777409734
"88",135.25355220503,-5.07920777409734
"89",138.877162641444,-5.07920777409734
"90",142.500773077859,-5.07920777409734
"91",146.124383514273,-5.07920777409734
"92",149.747993950687,-5.07920777409734
"93",153.371604387101,-5.07920777409734
"94",156.995214823515,-5.07920777409734
"95",160.618825259929,-5.07920777409734
"96",164.242435696343,-5.07920777409734
"97",167.866046132758,-5.07920777409734
"98",171.489656569172,-5.07920777409734
"99",175.113267005586,-5.07920777409734
"100",178.736877442,-5.07920777409734
