"","MaxDiet","y"
"1","",-5.76231291913586
"2","Fish",-5.47383865015963
"3","fruit",-5.73827521084571
"4","Inv",-5.76513372776731
"5","Nect",-5.73802131662598
"6","PlatO",-5.77670782437526
"7","Scav",-5.19062825887325
"8","Seed",-5.74878996220901
"9","Vect",-5.5655290994109
"10","vend",-5.72653309063881
"11","Vunk",-4.53307479849564
