"","IUCN.Status","y"
"1","",-5.05216744372489
"2","CR",-5.05360446588502
"3","CR (PE)",-5.05117831678055
"4","CR (PEW)",-5.05117831678055
"5","DD",-5.05250536919027
"6","EN",-5.05213332197464
"7","EW",-5.05145783707757
"8","EX",-5.05238924228343
"9","LC",-5.05342763021403
"10","NT",-5.05130113298397
"11","RE",-5.05117831678055
"12","VU",-5.05345077188704
