"","maxlat","y"
"1",-53.9807128902,-5.10345646330515
"2",-52.5907309171556,-5.10345646330515
"3",-51.2007489441111,-5.10345646330515
"4",-49.8107669710667,-5.10345646330515
"5",-48.4207849980222,-5.10345646330515
"6",-47.0308030249778,-5.10345646330515
"7",-45.6408210519333,-5.10345646330515
"8",-44.2508390788889,-5.10345646330515
"9",-42.8608571058444,-5.10345646330515
"10",-41.4708751328,-5.10345646330515
"11",-40.0808931597556,-5.10345646330515
"12",-38.6909111867111,-5.10345646330515
"13",-37.3009292136667,-5.10345646330515
"14",-35.9109472406222,-5.10345646330515
"15",-34.5209652675778,-5.10345646330515
"16",-33.1309832945333,-5.10345646330515
"17",-31.7410013214889,-5.10345646330515
"18",-30.3510193484444,-5.10345646330515
"19",-28.9610373754,-5.10345646330515
"20",-27.5710554023556,-5.10345646330515
"21",-26.1810734293111,-5.10345646330515
"22",-24.7910914562667,-5.10345646330515
"23",-23.4011094832222,-5.10345646330515
"24",-22.0111275101778,-5.10345646330515
"25",-20.6211455371333,-5.10343709834306
"26",-19.2311635640889,-5.10343709834306
"27",-17.8411815910444,-5.10317516005319
"28",-16.451199618,-5.10314704126781
"29",-15.0612176449556,-5.10311500020161
"30",-13.6712356719111,-5.10311500020161
"31",-12.2812536988667,-5.10311500020161
"32",-10.8912717258222,-5.10311500020161
"33",-9.50128975277778,-5.10311500020161
"34",-8.11130777973334,-5.10311500020161
"35",-6.72132580668889,-5.10311500020161
"36",-5.33134383364445,-5.10311500020161
"37",-3.9413618606,-5.10311500020161
"38",-2.55137988755556,-5.10786138895835
"39",-1.16139791451111,-5.11142164260262
"40",0.228584058533329,-5.11704776247264
"41",1.61856603157778,-5.11708330662793
"42",3.00854800462222,-5.11834712900962
"43",4.39852997766666,-5.11834712900962
"44",5.78851195071111,-5.11834712900962
"45",7.17849392375555,-5.11992587621936
"46",8.5684758968,-5.12099123998414
"47",9.95845786984444,-5.12099123998414
"48",11.3484398428889,-5.12097210016299
"49",12.7384218159333,-5.12101289586075
"50",14.1284037889778,-5.12096294575976
"51",15.5183857620222,-5.12093967489905
"52",16.9083677350667,-5.12092163148962
"53",18.2983497081111,-5.12076690306628
"54",19.6883316811556,-5.11744270764745
"55",21.0783136542,-5.11729501947455
"56",22.4682956272444,-5.11691236289048
"57",23.8582776002889,-5.11615906334664
"58",25.2482595733333,-5.11573653725888
"59",26.6382415463778,-5.11567580140377
"60",28.0282235194222,-5.11554314389674
"61",29.4182054924667,-5.11554621485471
"62",30.8081874655111,-5.11438500798008
"63",32.1981694385556,-5.10095411473702
"64",33.5881514116,-5.10059064759114
"65",34.9781333846444,-5.09863580568869
"66",36.3681153576889,-5.07460167404621
"67",37.7580973307333,-4.95895936546271
"68",39.1480793037778,-4.90250668117095
"69",40.5380612768222,-4.90156738072707
"70",41.9280432498667,-4.77422177414502
"71",43.3180252229111,-4.76966295586526
"72",44.7080071959556,-4.76867920976582
"73",46.097989169,-4.76711467244751
"74",47.4879711420445,-4.67847180738477
"75",48.8779531150889,-4.64925792947429
"76",50.2679350881333,-4.72330060588609
"77",51.6579170611778,-4.73526236908091
"78",53.0478990342222,-4.74936446998684
"79",54.4378810072667,-4.76406498919106
"80",55.8278629803111,-4.76516834373303
"81",57.2178449533556,-4.73483110992337
"82",58.6078269264,-4.61320300246967
"83",59.9978088994444,-4.60587697852912
"84",61.3877908724889,-4.38098144018455
"85",62.7777728455333,-4.40556332189943
"86",64.1677548185778,-4.44399287421552
"87",65.5577367916222,-4.39657252961137
"88",66.9477187646667,-4.39414090399629
"89",68.3377007377111,-4.30978058069148
"90",69.7276827107555,-4.42706115001966
"91",71.1176646838,-4.45860573630689
"92",72.5076466568445,-4.81897896475903
"93",73.8976286298889,-4.98022293571934
"94",75.2876106029333,-5.10852125081102
"95",76.6775925759778,-5.10852125081102
"96",78.0675745490222,-5.10852125081102
"97",79.4575565220667,-5.10852125081102
"98",80.8475384951111,-5.10852125081102
"99",82.2375204681555,-5.10852125081102
"100",83.6275024412,-5.10852125081102
