"","PARIDAE","y"
"1",0,-4.92346277440558
"2",0.0101010101010101,-4.92346277440558
"3",0.0202020202020202,-4.92346277440558
"4",0.0303030303030303,-4.92346277440558
"5",0.0404040404040404,-4.92346277440558
"6",0.0505050505050505,-4.92346277440558
"7",0.0606060606060606,-4.92346277440558
"8",0.0707070707070707,-4.92346277440558
"9",0.0808080808080808,-4.92346277440558
"10",0.0909090909090909,-4.92346277440558
"11",0.101010101010101,-4.92346277440558
"12",0.111111111111111,-4.92346277440558
"13",0.121212121212121,-4.92346277440558
"14",0.131313131313131,-4.92346277440558
"15",0.141414141414141,-4.92346277440558
"16",0.151515151515152,-4.92346277440558
"17",0.161616161616162,-4.92346277440558
"18",0.171717171717172,-4.92346277440558
"19",0.181818181818182,-4.92346277440558
"20",0.191919191919192,-4.92346277440558
"21",0.202020202020202,-4.92346277440558
"22",0.212121212121212,-4.92346277440558
"23",0.222222222222222,-4.92346277440558
"24",0.232323232323232,-4.92346277440558
"25",0.242424242424242,-4.92346277440558
"26",0.252525252525253,-4.92346277440558
"27",0.262626262626263,-4.92346277440558
"28",0.272727272727273,-4.92346277440558
"29",0.282828282828283,-4.92346277440558
"30",0.292929292929293,-4.92346277440558
"31",0.303030303030303,-4.92346277440558
"32",0.313131313131313,-4.92346277440558
"33",0.323232323232323,-4.92346277440558
"34",0.333333333333333,-4.92346277440558
"35",0.343434343434343,-4.92346277440558
"36",0.353535353535354,-4.92346277440558
"37",0.363636363636364,-4.92346277440558
"38",0.373737373737374,-4.92346277440558
"39",0.383838383838384,-4.92346277440558
"40",0.393939393939394,-4.92346277440558
"41",0.404040404040404,-4.92346277440558
"42",0.414141414141414,-4.92346277440558
"43",0.424242424242424,-4.92346277440558
"44",0.434343434343434,-4.92346277440558
"45",0.444444444444444,-4.92346277440558
"46",0.454545454545455,-4.92346277440558
"47",0.464646464646465,-4.92346277440558
"48",0.474747474747475,-4.92346277440558
"49",0.484848484848485,-4.92346277440558
"50",0.494949494949495,-4.92346277440558
"51",0.505050505050505,-4.57333154333713
"52",0.515151515151515,-4.57333154333713
"53",0.525252525252525,-4.57333154333713
"54",0.535353535353535,-4.57333154333713
"55",0.545454545454546,-4.57333154333713
"56",0.555555555555556,-4.57333154333713
"57",0.565656565656566,-4.57333154333713
"58",0.575757575757576,-4.57333154333713
"59",0.585858585858586,-4.57333154333713
"60",0.595959595959596,-4.57333154333713
"61",0.606060606060606,-4.57333154333713
"62",0.616161616161616,-4.57333154333713
"63",0.626262626262626,-4.57333154333713
"64",0.636363636363636,-4.57333154333713
"65",0.646464646464647,-4.57333154333713
"66",0.656565656565657,-4.57333154333713
"67",0.666666666666667,-4.57333154333713
"68",0.676767676767677,-4.57333154333713
"69",0.686868686868687,-4.57333154333713
"70",0.696969696969697,-4.57333154333713
"71",0.707070707070707,-4.57333154333713
"72",0.717171717171717,-4.57333154333713
"73",0.727272727272727,-4.57333154333713
"74",0.737373737373737,-4.57333154333713
"75",0.747474747474748,-4.57333154333713
"76",0.757575757575758,-4.57333154333713
"77",0.767676767676768,-4.57333154333713
"78",0.777777777777778,-4.57333154333713
"79",0.787878787878788,-4.57333154333713
"80",0.797979797979798,-4.57333154333713
"81",0.808080808080808,-4.57333154333713
"82",0.818181818181818,-4.57333154333713
"83",0.828282828282828,-4.57333154333713
"84",0.838383838383838,-4.57333154333713
"85",0.848484848484849,-4.57333154333713
"86",0.858585858585859,-4.57333154333713
"87",0.868686868686869,-4.57333154333713
"88",0.878787878787879,-4.57333154333713
"89",0.888888888888889,-4.57333154333713
"90",0.898989898989899,-4.57333154333713
"91",0.909090909090909,-4.57333154333713
"92",0.919191919191919,-4.57333154333713
"93",0.929292929292929,-4.57333154333713
"94",0.939393939393939,-4.57333154333713
"95",0.94949494949495,-4.57333154333713
"96",0.95959595959596,-4.57333154333713
"97",0.96969696969697,-4.57333154333713
"98",0.97979797979798,-4.57333154333713
"99",0.98989898989899,-4.57333154333713
"100",1,-4.57333154333713
