"","SLP_DS","y"
"1","> 45",-5.05750848798126
"2","0 to 0.5",-5.03093499130052
"3","0.5 to 2",-5.04362544745479
"4","16 to 30",-5.06336313158029
"5","2 to 5",-5.05492237518626
"6","30 to 45",-5.06351934890889
"7","5 to 8",-5.05547819003678
"8","8 to 16",-5.05874908959115
"9","no data",-5.05145340913376
"10","Water",-5.04904386930911
