"","minlat","y"
"1",-85.5827636734,-4.55694112209259
"2",-84.003324722099,-4.55694112209259
"3",-82.423885770798,-4.55694112209259
"4",-80.844446819497,-4.55694112209259
"5",-79.265007868196,-4.55694112209259
"6",-77.685568916895,-4.55694112209259
"7",-76.1061299655939,-4.55694112209259
"8",-74.5266910142929,-4.55694112209259
"9",-72.9472520629919,-4.55694112209259
"10",-71.3678131116909,-4.55694112209259
"11",-69.7883741603899,-4.55694112209259
"12",-68.2089352090889,-4.55694112209259
"13",-66.6294962577879,-4.55694112209259
"14",-65.0500573064869,-4.55694112209259
"15",-63.4706183551859,-4.55694112209259
"16",-61.8911794038848,-4.55694112209259
"17",-60.3117404525838,-4.55694112209259
"18",-58.7323015012828,-4.55694112209259
"19",-57.1528625499818,-4.55694112209259
"20",-55.5734235986808,-4.54251199206444
"21",-53.9939846473798,-4.55663930956406
"22",-52.4145456960788,-4.55876980723719
"23",-50.8351067447778,-4.5610850549814
"24",-49.2556677934768,-4.56178242626805
"25",-47.6762288421758,-4.56319728902644
"26",-46.0967898908747,-4.56158850939601
"27",-44.5173509395737,-4.56164177340723
"28",-42.9379119882727,-4.56901355862426
"29",-41.3584730369717,-4.55929379955403
"30",-39.7790340856707,-4.49156014103047
"31",-38.1995951343697,-4.66418741010678
"32",-36.6201561830687,-4.66446207654767
"33",-35.0407172317677,-4.6645733600511
"34",-33.4612782804667,-4.66619848212163
"35",-31.8818393291657,-4.66755869042229
"36",-30.3024003778646,-4.66981207810817
"37",-28.7229614265636,-4.67080341966104
"38",-27.1435224752626,-4.67331061385309
"39",-25.5640835239616,-4.67328693204973
"40",-23.9846445726606,-4.67322273020643
"41",-22.4052056213596,-4.67326624774742
"42",-20.8257666700586,-4.67343804391814
"43",-19.2463277187576,-4.6734234175569
"44",-17.6668887674566,-4.67311072332477
"45",-16.0874498161556,-4.67312689449127
"46",-14.5080108648545,-4.67315141306313
"47",-12.9285719135535,-4.67310961153529
"48",-11.3491329622525,-4.6730794417365
"49",-9.76969401095151,-4.67212325582223
"50",-8.1902550596505,-4.67374792979524
"51",-6.6108161083495,-4.67385481574697
"52",-5.03137715704848,-4.67399387108009
"53",-3.45193820574747,-4.67403695370084
"54",-1.87249925444647,-4.67405280947567
"55",-0.293060303145452,-4.67410997967753
"56",1.28637864815556,-4.6743236854418
"57",2.86581759945656,-4.67437112394944
"58",4.44525655075758,-4.67423534582195
"59",6.02469550205859,-4.67450847082631
"60",7.60413445335961,-4.67473573377065
"61",9.18357340466061,-4.67485409693663
"62",10.7630123559616,-4.67463976514179
"63",12.3424513072626,-4.67390992953893
"64",13.9218902585636,-4.67451857784314
"65",15.5013292098647,-4.67442950883469
"66",17.0807681611657,-4.67555239078072
"67",18.6602071124667,-4.67333474162269
"68",20.2396460637677,-4.67394799305622
"69",21.8190850150687,-4.67570701725372
"70",23.3985239663697,-4.67657764507713
"71",24.9779629176707,-4.67566797448745
"72",26.5574018689717,-4.67657396584186
"73",28.1368408202727,-4.67345486622653
"74",29.7162797715737,-4.66869125292112
"75",31.2957187228748,-4.65656878127293
"76",32.8751576741758,-4.6565784021293
"77",34.4545966254768,-4.65742039788379
"78",36.0340355767778,-4.65728210002913
"79",37.6134745280788,-4.6543102846806
"80",39.1929134793798,-4.65311794100819
"81",40.7723524306808,-4.65519145347349
"82",42.3517913819818,-4.65542148357549
"83",43.9312303332828,-4.65542148357549
"84",45.5106692845839,-4.65544904672203
"85",47.0901082358849,-4.65546888387214
"86",48.6695471871859,-4.65546888387214
"87",50.2489861384869,-4.65549251313343
"88",51.8284250897879,-4.65549251313343
"89",53.4078640410889,-4.65549251313343
"90",54.9873029923899,-4.65549251313343
"91",56.5667419436909,-4.65549251313343
"92",58.1461808949919,-4.65549251313343
"93",59.7256198462929,-4.65549251313343
"94",61.3050587975939,-4.65549251313343
"95",62.8844977488949,-4.65549251313343
"96",64.463936700196,-4.65549251313343
"97",66.043375651497,-4.65549251313343
"98",67.622814602798,-4.65549251313343
"99",69.202253554099,-4.65549251313343
"100",70.7816925054,-4.65549251313343
