"","SLP_DS","y"
"1","> 45",-5.75753108145644
"2","0 to 0.5",-5.71649554898693
"3","0.5 to 2",-5.76416854062468
"4","16 to 30",-5.75761543054732
"5","2 to 5",-5.73448449618327
"6","30 to 45",-5.75167298358616
"7","5 to 8",-5.75848277209776
"8","8 to 16",-5.73660689607528
"9","no data",-5.75135396092086
"10","Water",-5.7441988889021
