"","PubmedHits_ln","y"
"1",-6.90775527898,-6.23626316472616
"2",-6.68765681324586,-6.23626316472616
"3",-6.46755834751172,-6.23626316472616
"4",-6.24745988177758,-6.23626316472616
"5",-6.02736141604343,-6.23626316472616
"6",-5.80726295030929,-6.23626316472616
"7",-5.58716448457515,-6.23626316472616
"8",-5.36706601884101,-6.23626316472616
"9",-5.14696755310687,-6.23626316472616
"10",-4.92686908737273,-6.23626316472616
"11",-4.70677062163859,-6.23626316472616
"12",-4.48667215590444,-6.23626316472616
"13",-4.2665736901703,-6.23626316472616
"14",-4.04647522443616,-6.23626316472616
"15",-3.82637675870202,-6.23626316472616
"16",-3.60627829296788,-6.23626316472616
"17",-3.38617982723374,-6.23651673038711
"18",-3.1660813614996,-6.23651673038711
"19",-2.94598289576546,-6.23651673038711
"20",-2.72588443003131,-6.23651673038711
"21",-2.50578596429717,-6.23651673038711
"22",-2.28568749856303,-6.23651673038711
"23",-2.06558903282889,-6.23651673038711
"24",-1.84549056709475,-6.23651673038711
"25",-1.62539210136061,-6.23651673038711
"26",-1.40529363562647,-6.23651673038711
"27",-1.18519516989232,-6.23651673038711
"28",-0.965096704158182,-6.23651673038711
"29",-0.744998238424041,-6.23651673038711
"30",-0.5248997726899,-6.23651673038711
"31",-0.304801306955758,-6.23651673038711
"32",-0.0847028412216169,-6.23651673038711
"33",0.135395624512524,-6.23651673038711
"34",0.355494090246665,-6.23651673038711
"35",0.575592555980807,-6.23651673038711
"36",0.795691021714949,-6.23651673038711
"37",1.01578948744909,-6.23651673038711
"38",1.23588795318323,-6.23651673038711
"39",1.45598641891737,-6.23688738309776
"40",1.67608488465151,-6.23688738309776
"41",1.89618335038566,-6.23710874022166
"42",2.1162818161198,-6.23685238720046
"43",2.33638028185394,-6.2366309151511
"44",2.55647874758808,-6.2366309151511
"45",2.77657721332222,-6.23633908841701
"46",2.99667567905636,-6.23557751987124
"47",3.2167741447905,-6.23496334225992
"48",3.43687261052465,-6.23421491219387
"49",3.65697107625879,-6.23407614845688
"50",3.87706954199293,-6.20561978475537
"51",4.09716800772707,-6.20510047324844
"52",4.31726647346121,-6.2024663665643
"53",4.53736493919535,-6.2003635752198
"54",4.75746340492949,-6.19979880447878
"55",4.97756187066364,-6.15241719375566
"56",5.19766033639778,-6.1646465998473
"57",5.41775880213192,-6.16325090506569
"58",5.63785726786606,-6.16325090506569
"59",5.8579557336002,-6.1619256257305
"60",6.07805419933434,-6.11158085920081
"61",6.29815266506848,-6.07671163996651
"62",6.51825113080262,-6.0738498323439
"63",6.73834959653677,-6.07450551651938
"64",6.95844806227091,-6.01926236386506
"65",7.17854652800505,-5.97197046483169
"66",7.39864499373919,-5.96707895098124
"67",7.61874345947333,-5.96707895098124
"68",7.83884192520747,-5.9715609396633
"69",8.05894039094161,-5.80325283501472
"70",8.27903885667576,-4.73151495114575
"71",8.4991373224099,-4.73496274312447
"72",8.71923578814404,-4.74379378390853
"73",8.93933425387818,-4.74940590632104
"74",9.15943271961232,-4.78437811059849
"75",9.37953118534646,-4.80425295097802
"76",9.5996296510806,-4.64553078296789
"77",9.81972811681475,-4.53993633808796
"78",10.0398265825489,-4.53564199065937
"79",10.259925048283,-4.51801635947386
"80",10.4800235140172,-4.40249606920686
"81",10.7001219797513,-4.40249606920686
"82",10.9202204454855,-4.40249606920686
"83",11.1403189112196,-4.40354990295564
"84",11.3604173769537,-4.40354990295564
"85",11.5805158426879,-4.39904183518835
"86",11.800614308422,-4.39904183518835
"87",12.0207127741562,-4.39904183518835
"88",12.2408112398903,-4.39904183518835
"89",12.4609097056244,-4.39904183518835
"90",12.6810081713586,-4.39916911430325
"91",12.9011066370927,-4.39645925864475
"92",13.1212051028269,-4.40098947617072
"93",13.341303568561,-4.40098947617072
"94",13.5614020342951,-4.40098947617072
"95",13.7815005000293,-4.40098947617072
"96",14.0015989657634,-4.40098947617072
"97",14.2216974314976,-4.3902064524819
"98",14.4417958972317,-4.28538210267334
"99",14.6618943629659,-4.28538210267334
"100",14.8819928287,-4.28538210267334
