"","EQUIDAE","y"
"1",0,-6.85612510167756
"2",0,-6.85612510167756
"3",0,-6.85612510167756
"4",0,-6.85612510167756
"5",0,-6.85612510167756
"6",0,-6.85612510167756
"7",0,-6.85612510167756
"8",0,-6.85612510167756
"9",0,-6.85612510167756
"10",0,-6.85612510167756
"11",0,-6.85612510167756
"12",0,-6.85612510167756
"13",0,-6.85612510167756
"14",0,-6.85612510167756
"15",0,-6.85612510167756
"16",0,-6.85612510167756
"17",0,-6.85612510167756
"18",0,-6.85612510167756
"19",0,-6.85612510167756
"20",0,-6.85612510167756
"21",0,-6.85612510167756
"22",0,-6.85612510167756
"23",0,-6.85612510167756
"24",0,-6.85612510167756
"25",0,-6.85612510167756
"26",0,-6.85612510167756
"27",0,-6.85612510167756
"28",0,-6.85612510167756
"29",0,-6.85612510167756
"30",0,-6.85612510167756
"31",0,-6.85612510167756
"32",0,-6.85612510167756
"33",0,-6.85612510167756
"34",0,-6.85612510167756
"35",0,-6.85612510167756
"36",0,-6.85612510167756
"37",0,-6.85612510167756
"38",0,-6.85612510167756
"39",0,-6.85612510167756
"40",0,-6.85612510167756
"41",0,-6.85612510167756
"42",0,-6.85612510167756
"43",0,-6.85612510167756
"44",0,-6.85612510167756
"45",0,-6.85612510167756
"46",0,-6.85612510167756
"47",0,-6.85612510167756
"48",0,-6.85612510167756
"49",0,-6.85612510167756
"50",0,-6.85612510167756
"51",0,-6.85612510167756
"52",0,-6.85612510167756
"53",0,-6.85612510167756
"54",0,-6.85612510167756
"55",0,-6.85612510167756
"56",0,-6.85612510167756
"57",0,-6.85612510167756
"58",0,-6.85612510167756
"59",0,-6.85612510167756
"60",0,-6.85612510167756
"61",0,-6.85612510167756
"62",0,-6.85612510167756
"63",0,-6.85612510167756
"64",0,-6.85612510167756
"65",0,-6.85612510167756
"66",0,-6.85612510167756
"67",0,-6.85612510167756
"68",0,-6.85612510167756
"69",0,-6.85612510167756
"70",0,-6.85612510167756
"71",0,-6.85612510167756
"72",0,-6.85612510167756
"73",0,-6.85612510167756
"74",0,-6.85612510167756
"75",0,-6.85612510167756
"76",0,-6.85612510167756
"77",0,-6.85612510167756
"78",0,-6.85612510167756
"79",0,-6.85612510167756
"80",0,-6.85612510167756
"81",0,-6.85612510167756
"82",0,-6.85612510167756
"83",0,-6.85612510167756
"84",0,-6.85612510167756
"85",0,-6.85612510167756
"86",0,-6.85612510167756
"87",0,-6.85612510167756
"88",0,-6.85612510167756
"89",0,-6.85612510167756
"90",0,-6.85612510167756
"91",0,-6.85612510167756
"92",0,-6.85612510167756
"93",0,-6.85612510167756
"94",0,-6.85612510167756
"95",0,-6.85612510167756
"96",0,-6.85612510167756
"97",0,-6.85612510167756
"98",0,-6.85612510167756
"99",0,-6.85612510167756
"100",0,-6.85612510167756
