"","minlat","y"
"1",-89.900024414,-4.84759380701715
"2",-88.2769763331232,-4.84759380701715
"3",-86.6539282522465,-4.84759380701715
"4",-85.0308801713697,-4.84759380701715
"5",-83.4078320904929,-4.84759380701715
"6",-81.7847840096162,-4.84759380701715
"7",-80.1617359287394,-4.84759380701715
"8",-78.5386878478626,-4.84759380701715
"9",-76.9156397669859,-4.84759380701715
"10",-75.2925916861091,-4.84759380701715
"11",-73.6695436052323,-4.84759380701715
"12",-72.0464955243555,-4.84759380701715
"13",-70.4234474434788,-4.84759380701715
"14",-68.800399362602,-4.84759380701715
"15",-67.1773512817253,-4.84759380701715
"16",-65.5543032008485,-4.84759380701715
"17",-63.9312551199717,-4.84759380701715
"18",-62.308207039095,-4.84759380701715
"19",-60.6851589582182,-4.84759380701715
"20",-59.0621108773414,-4.84759380701715
"21",-57.4390627964646,-4.84759380701715
"22",-55.8160147155879,-4.8467281062962
"23",-54.1929666347111,-4.83897321824426
"24",-52.5699185538343,-4.83976988161698
"25",-50.9468704729576,-4.84491347842966
"26",-49.3238223920808,-4.84791556741699
"27",-47.700774311204,-4.85451919427301
"28",-46.0777262303273,-4.85561011092738
"29",-44.4546781494505,-4.85576810604547
"30",-42.8316300685737,-4.66120774438063
"31",-41.208581987697,-4.70328838291342
"32",-39.5855339068202,-5.06590452685196
"33",-37.9624858259434,-5.06799020357335
"34",-36.3394377450667,-5.06846688449499
"35",-34.7163896641899,-5.07174303018621
"36",-33.0933415833131,-5.07172463854446
"37",-31.4702935024364,-5.07167749128291
"38",-29.8472454215596,-5.07251095381179
"39",-28.2241973406828,-5.07321909261776
"40",-26.6011492598061,-5.07335623635719
"41",-24.9781011789293,-5.07335623635719
"42",-23.3550530980525,-5.07335623635719
"43",-21.7320050171758,-5.07327127642613
"44",-20.108956936299,-5.07326158854095
"45",-18.4859088554222,-5.07289142149505
"46",-16.8628607745455,-5.07271440417945
"47",-15.2398126936687,-5.07264789367635
"48",-13.6167646127919,-5.0725626898229
"49",-11.9937165319151,-5.07257149606062
"50",-10.3706684510384,-5.07224031894674
"51",-8.74762037016161,-5.07264791485496
"52",-7.12457228928484,-5.07274795998393
"53",-5.50152420840807,-5.07310745726223
"54",-3.87847612753131,-5.07329583061257
"55",-2.25542804665454,-5.07334471228949
"56",-0.632379965777773,-5.07415816250806
"57",0.990668115098998,-5.07429228212199
"58",2.61371619597577,-5.07453725985481
"59",4.23676427685253,-5.07434413157842
"60",5.8598123577293,-5.07466252142117
"61",7.48286043860607,-5.07495230899915
"62",9.10590851948284,-5.07457341861952
"63",10.7289566003596,-5.0740786829119
"64",12.3520046812364,-5.07260910120093
"65",13.9750527621131,-5.07251049145458
"66",15.5981008429899,-5.07249242925178
"67",17.2211489238667,-5.0728023109206
"68",18.8441970047434,-5.064454283743
"69",20.4672450856202,-5.06666292819982
"70",22.090293166497,-5.06452970994033
"71",23.7133412473737,-5.05754212419229
"72",25.3363893282505,-5.0372089598814
"73",26.9594374091273,-5.03732323551751
"74",28.582485490004,-5.02019589643675
"75",30.2055335708808,-5.01492659101102
"76",31.8285816517576,-5.01565778122552
"77",33.4516297326343,-5.01575951229732
"78",35.0746778135111,-5.01648124269496
"79",36.6977258943879,-5.01648124269496
"80",38.3207739752646,-5.01648124269496
"81",39.9438220561414,-5.01649008585617
"82",41.5668701370182,-5.01652665247297
"83",43.189918217895,-5.01658672922385
"84",44.8129662987717,-5.01658672922385
"85",46.4360143796485,-5.01658672922385
"86",48.0590624605253,-5.01658672922385
"87",49.682110541402,-5.01658672922385
"88",51.3051586222788,-5.01658672922385
"89",52.9282067031556,-5.01658672922385
"90",54.5512547840323,-5.01658672922385
"91",56.1743028649091,-5.01658672922385
"92",57.7973509457859,-5.01658672922385
"93",59.4203990266626,-5.01658672922385
"94",61.0434471075394,-5.01658672922385
"95",62.6664951884162,-5.01658672922385
"96",64.2895432692929,-5.01658672922385
"97",65.9125913501697,-5.01658672922385
"98",67.5356394310465,-5.01658672922385
"99",69.1586875119232,-5.01658672922385
"100",70.7817355928,-5.01658672922385
