"","DIATOMYIDAE","y"
"1",0,-6.38734372646038
"2",0,-6.38734372646038
"3",0,-6.38734372646038
"4",0,-6.38734372646038
"5",0,-6.38734372646038
"6",0,-6.38734372646038
"7",0,-6.38734372646038
"8",0,-6.38734372646038
"9",0,-6.38734372646038
"10",0,-6.38734372646038
"11",0,-6.38734372646038
"12",0,-6.38734372646038
"13",0,-6.38734372646038
"14",0,-6.38734372646038
"15",0,-6.38734372646038
"16",0,-6.38734372646038
"17",0,-6.38734372646038
"18",0,-6.38734372646038
"19",0,-6.38734372646038
"20",0,-6.38734372646038
"21",0,-6.38734372646038
"22",0,-6.38734372646038
"23",0,-6.38734372646038
"24",0,-6.38734372646038
"25",0,-6.38734372646038
"26",0,-6.38734372646038
"27",0,-6.38734372646038
"28",0,-6.38734372646038
"29",0,-6.38734372646038
"30",0,-6.38734372646038
"31",0,-6.38734372646038
"32",0,-6.38734372646038
"33",0,-6.38734372646038
"34",0,-6.38734372646038
"35",0,-6.38734372646038
"36",0,-6.38734372646038
"37",0,-6.38734372646038
"38",0,-6.38734372646038
"39",0,-6.38734372646038
"40",0,-6.38734372646038
"41",0,-6.38734372646038
"42",0,-6.38734372646038
"43",0,-6.38734372646038
"44",0,-6.38734372646038
"45",0,-6.38734372646038
"46",0,-6.38734372646038
"47",0,-6.38734372646038
"48",0,-6.38734372646038
"49",0,-6.38734372646038
"50",0,-6.38734372646038
"51",0,-6.38734372646038
"52",0,-6.38734372646038
"53",0,-6.38734372646038
"54",0,-6.38734372646038
"55",0,-6.38734372646038
"56",0,-6.38734372646038
"57",0,-6.38734372646038
"58",0,-6.38734372646038
"59",0,-6.38734372646038
"60",0,-6.38734372646038
"61",0,-6.38734372646038
"62",0,-6.38734372646038
"63",0,-6.38734372646038
"64",0,-6.38734372646038
"65",0,-6.38734372646038
"66",0,-6.38734372646038
"67",0,-6.38734372646038
"68",0,-6.38734372646038
"69",0,-6.38734372646038
"70",0,-6.38734372646038
"71",0,-6.38734372646038
"72",0,-6.38734372646038
"73",0,-6.38734372646038
"74",0,-6.38734372646038
"75",0,-6.38734372646038
"76",0,-6.38734372646038
"77",0,-6.38734372646038
"78",0,-6.38734372646038
"79",0,-6.38734372646038
"80",0,-6.38734372646038
"81",0,-6.38734372646038
"82",0,-6.38734372646038
"83",0,-6.38734372646038
"84",0,-6.38734372646038
"85",0,-6.38734372646038
"86",0,-6.38734372646038
"87",0,-6.38734372646038
"88",0,-6.38734372646038
"89",0,-6.38734372646038
"90",0,-6.38734372646038
"91",0,-6.38734372646038
"92",0,-6.38734372646038
"93",0,-6.38734372646038
"94",0,-6.38734372646038
"95",0,-6.38734372646038
"96",0,-6.38734372646038
"97",0,-6.38734372646038
"98",0,-6.38734372646038
"99",0,-6.38734372646038
"100",0,-6.38734372646038
